Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,0.37,0.37,0.36,32,"2,644,115","970,893.41",0.37,30/08/2017,0.37,0.37,0,,0.27
29/08/2017,0.36,0.37,0.36,11,"542,980","199,739.41",0.37,29/08/2017,0.37,0.37,0,,-0.54
28/08/2017,0.37,0.37,0.36,31,"2,801,805","1,027,315.51",0.37,28/08/2017,0.37,0.37,0,,0
27/08/2017,0.38,0.38,0.37,22,"1,512,470","561,549.87",0.37,27/08/2017,0.38,0.37,-0.01,,-1.33
24/08/2017,0.37,0.38,0.37,7,"347,509","129,820.88",0.38,24/08/2017,0.38,0.38,0,,-0.53
23/08/2017,0.38,0.38,0.37,7,"260,976","97,696.18",0.38,23/08/2017,0.38,0.38,0,,0.53
22/08/2017,0.38,0.38,0.37,19,"1,019,554","378,932.98",0.38,22/08/2017,0.37,0.38,0,,0.81
21/08/2017,0.38,0.38,0.37,19,"657,681","247,601.41",0.37,21/08/2017,0.38,0.37,-0.01,,-1.59
20/08/2017,0.37,0.38,0.37,46,"2,542,908","955,252.34",0.38,20/08/2017,0.37,0.38,0.01,,3
17/08/2017,0.37,0.37,0.37,14,"730,387","267,916.63",0.37,17/08/2017,0.37,0.37,0,,-0.27
16/08/2017,0.36,0.37,0.36,37,"2,522,953","924,013.98",0.37,16/08/2017,0.37,0.37,0,,0.55
15/08/2017,0.37,0.37,0.36,51,"3,009,042","1,091,335.28",0.37,15/08/2017,0.38,0.37,-0.01,,-2.4
14/08/2017,0.39,0.39,0.38,4,"400,000","152,500.00",0.38,14/08/2017,0.38,0.38,0,,-0.27
13/08/2017,0.38,0.38,0.38,7,"550,558","207,244.81",0.38,13/08/2017,0.38,0.38,0,,-1.05
10/8/2017,0.39,0.39,0.38,4,"187,000","71,295.00",0.38,10/8/2017,0.38,0.38,0,,0
9/8/2017,0.38,0.39,0.38,10,"588,041","223,755.58",0.38,9/8/2017,0.38,0.38,0,,0
8/8/2017,0.38,0.38,0.38,6,"445,000","169,478.54",0.38,8/8/2017,0.39,0.38,-0.01,,-1.3
7/8/2017,0.39,0.39,0.38,6,"347,076","133,510.11",0.39,7/8/2017,0.39,0.39,0,,-0.52
6/8/2017,0.39,0.39,0.39,8,"407,794","157,371.95",0.39,6/8/2017,0.39,0.39,0,,0.52
3/8/2017,0.39,0.39,0.38,27,"1,598,351","616,070.66",0.39,3/8/2017,0.39,0.39,0,,-0.26
2/8/2017,0.39,0.39,0.39,22,"1,896,530","733,550.25",0.39,2/8/2017,0.39,0.39,-0.01,,-2.03
1/8/2017,0.39,0.39,0.39,8,"373,926","146,012.61",0.39,1/8/2017,0.39,0.39,0,,0.25
31/07/2017,0.39,0.39,0.39,21,"1,421,112","557,269.37",0.39,31/07/2017,0.39,0.39,0,,0
30/07/2017,0.39,0.4,0.39,119,"14,780,543","5,873,081.85",0.39,30/07/2017,0.39,0.39,0,,0.51
27/07/2017,0.39,0.39,0.38,25,"3,522,435","1,366,465.56",0.39,27/07/2017,0.39,0.39,0,,-0.26
26/07/2017,0.39,0.39,0.39,8,"534,298","207,407.11",0.39,26/07/2017,0.39,0.39,0,,1.03
25/07/2017,0.39,0.39,0.39,15,"821,635","320,389.35",0.39,25/07/2017,0.39,0.39,0,,-1.02
24/07/2017,0.39,0.39,0.38,21,"1,439,062","558,796.70",0.39,24/07/2017,0.39,0.39,0,,-0.25
23/07/2017,0.39,0.4,0.39,39,"3,854,759","1,517,035.05",0.39,23/07/2017,0.39,0.39,0,,0.26
20/07/2017,0.39,0.4,0.38,34,"3,477,452","1,348,544.02",0.39,20/07/2017,0.39,0.39,0,,0.51
19/07/2017,0.39,0.39,0.38,38,"2,536,073","983,669.35",0.39,19/07/2017,0.39,0.39,0,,-0.26
18/07/2017,0.4,0.4,0.39,16,"976,060","380,879.54",0.39,18/07/2017,0.39,0.39,0,,0
17/07/2017,0.39,0.4,0.39,23,"1,400,472","549,301.10",0.39,17/07/2017,0.39,0.39,0,,-0.76
16/07/2017,0.4,0.4,0.39,29,"3,624,931","1,423,070.92",0.39,16/07/2017,0.39,0.39,0,,0
13/07/2017,0.39,0.4,0.39,88,"9,606,566","3,786,160.16",0.39,13/07/2017,0.39,0.39,0.01,,1.81
12/7/2017,0.38,0.39,0.38,21,"1,634,852","628,016.37",0.39,12/7/2017,0.38,0.39,0.01,,1.31
11/7/2017,0.38,0.39,0.38,29,"1,780,933","679,955.42",0.38,11/7/2017,0.38,0.38,0.01,,1.33
10/7/2017,0.38,0.38,0.38,14,"810,023","307,113.39",0.38,10/7/2017,0.38,0.38,0,,-0.26
9/7/2017,0.38,0.39,0.38,12,"834,289","315,393.10",0.38,9/7/2017,0.38,0.38,0,,0.27
6/7/2017,0.38,0.38,0.37,22,"1,811,708","677,465.46",0.38,6/7/2017,0.38,0.38,0,,0.53
5/7/2017,0.38,0.39,0.38,32,"2,245,731","855,617.84",0.38,5/7/2017,0.38,0.38,-0.01,,-1.32
4/7/2017,0.38,0.38,0.38,16,"1,542,980","586,332.40",0.38,4/7/2017,0.38,0.38,0,,0.53
3/7/2017,0.38,0.38,0.38,35,"2,108,351","799,043.15",0.38,3/7/2017,0.37,0.38,0,,1.07
2/7/2017,0.36,0.38,0.36,9,"284,840","105,224.66",0.37,2/7/2017,0.37,0.37,0,,0.27
29/06/2017,0.38,0.38,0.37,11,"294,981","110,160.43",0.37,29/06/2017,0.37,0.37,0,,0.81
28/06/2017,0.38,0.38,0.37,10,"613,888","230,112.44",0.37,28/06/2017,0.38,0.37,-0.01,,-1.33
22/06/2017,0.38,0.39,0.37,50,"4,267,800","1,613,197.17",0.38,22/06/2017,0.39,0.38,-0.01,,-2.85
21/06/2017,0.39,0.39,0.38,20,"1,378,767","531,233.50",0.39,21/06/2017,0.39,0.39,-0.01,,-1.78
20/06/2017,0.39,0.4,0.39,29,"4,094,600","1,603,608.18",0.39,20/06/2017,0.4,0.39,0,,-0.76
19/06/2017,0.39,0.4,0.39,57,"7,339,133","2,908,957.79",0.4,19/06/2017,0.39,0.4,0.01,,2.06
18/06/2017,0.39,0.39,0.39,37,"2,532,452","985,255.84",0.39,18/06/2017,0.39,0.39,0,,-0.51
15/06/2017,0.4,0.4,0.39,109,"13,552,596","5,304,498.62",0.39,15/06/2017,0.4,0.39,-0.01,,-2.5
14/06/2017,0.39,0.41,0.39,159,"17,593,257","7,073,501.26",0.4,14/06/2017,0.39,0.4,0.01,,2.83
13/06/2017,0.39,0.39,0.39,65,"7,040,754","2,741,496.54",0.39,13/06/2017,0.39,0.39,0,,-0.77
12/6/2017,0.4,0.4,0.39,66,"5,409,612","2,129,869.84",0.39,12/6/2017,0.39,0.39,0,,-0.51
11/6/2017,0.39,0.4,0.39,197,"23,007,066","9,124,641.47",0.39,11/6/2017,0.39,0.39,0,,1.03
8/6/2017,0.38,0.39,0.38,165,"18,574,320","7,173,831.72",0.39,8/6/2017,0.38,0.39,0.01,,2.9
7/6/2017,0.37,0.39,0.37,141,"11,230,377","4,281,443.66",0.38,7/6/2017,0.38,0.38,0,,0.8
6/6/2017,0.37,0.38,0.37,20,"974,049","359,794.62",0.38,6/6/2017,0.37,0.38,0.01,,1.62
5/6/2017,0.38,0.38,0.36,32,"2,758,857","1,016,322.35",0.37,5/6/2017,0.38,0.37,-0.01,,-2.63
4/6/2017,0.37,0.38,0.36,55,"5,243,000","1,952,073.27",0.38,4/6/2017,0.37,0.38,0.01,,3.54
1/6/2017,0.36,0.37,0.36,34,"2,172,557","790,069.43",0.37,1/6/2017,0.36,0.37,0.01,,2.51
31/05/2017,0.37,0.37,0.36,74,"6,760,241","2,440,644.27",0.36,31/05/2017,0.36,0.36,0,,-0.56
30/05/2017,0.38,0.39,0.33,162,"12,808,576","4,697,119.29",0.36,30/05/2017,0.37,0.36,-0.01,,-2.17
29/05/2017,0.34,0.4,0.34,97,"6,513,743","2,396,242.39",0.37,29/05/2017,0.35,0.37,0.02,,5.44
28/05/2017,0.35,0.36,0.34,77,"2,665,783","924,464.46",0.35,28/05/2017,0.36,0.35,-0.01,,-1.97
25/05/2017,0.37,0.37,0.36,65,"4,755,732","1,712,098.05",0.36,25/05/2017,0.38,0.36,-0.02,,-5.07
24/05/2017,0.37,0.38,0.37,99,"2,821,470","1,047,215.23",0.38,24/05/2017,0.37,0.38,0.01,,1.35
23/05/2017,0.38,0.38,0.37,72,"2,474,338","919,926.35",0.37,23/05/2017,0.38,0.37,-0.01,,-3.39
22/05/2017,0.39,0.39,0.38,48,"1,209,402","465,198.32",0.38,22/05/2017,0.39,0.38,0,,-0.52
21/05/2017,0.4,0.4,0.39,42,"4,112,654","1,605,060.33",0.39,21/05/2017,0.4,0.39,-0.01,,-2.78
18/05/2017,0.39,0.4,0.39,32,"2,341,374","923,193.63",0.4,18/05/2017,0.41,0.4,-0.01,,-2.22
17/05/2017,0.4,0.41,0.4,36,"2,922,264","1,171,838.52",0.41,17/05/2017,0.4,0.41,0.01,,1.25
16/05/2017,0.38,0.4,0.38,26,"1,207,408","474,872.06",0.4,16/05/2017,0.38,0.4,0.02,,4.17
15/05/2017,0.41,0.41,0.38,47,"2,893,755","1,141,306.22",0.38,15/05/2017,0.41,0.38,-0.03,,-7.25
14/05/2017,0.42,0.42,0.41,11,"554,915","231,033.54",0.41,14/05/2017,0.42,0.41,-0.01,,-1.43
11/5/2017,0.42,0.43,0.42,10,"334,404","141,232.73",0.42,11/5/2017,0.42,0.42,0,,0.48
10/5/2017,0.41,0.42,0.41,18,"661,364","275,160.94",0.42,10/5/2017,0.42,0.42,0,,0.24
