Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,0.54,0.54,0.54,38,"2,042,968","1,104,069.28",0.54,30/08/2017,0.54,0.54,0.01,,0.93
29/08/2017,0.54,0.54,0.54,20,"847,300","456,815.60",0.54,29/08/2017,0.54,0.54,0,,-0.19
28/08/2017,0.54,0.54,0.53,81,"5,172,247","2,782,125.90",0.54,28/08/2017,0.55,0.54,-0.01,,-0.92
27/08/2017,0.55,0.55,0.54,52,"3,095,218","1,678,710.92",0.55,27/08/2017,0.55,0.55,0,,-0.55
24/08/2017,0.56,0.56,0.55,25,"1,319,838","724,764.05",0.55,24/08/2017,0.55,0.55,-0.01,,-0.9
23/08/2017,0.57,0.57,0.55,46,"3,982,303","2,216,595.21",0.55,23/08/2017,0.56,0.55,-0.01,,-1.43
22/08/2017,0.56,0.57,0.56,172,"14,049,688","7,899,933.02",0.56,22/08/2017,0.56,0.56,0.01,,0.9
21/08/2017,0.55,0.57,0.55,157,"10,220,854","5,701,377.02",0.56,21/08/2017,0.55,0.56,0.01,,1.46
20/08/2017,0.55,0.56,0.55,90,"4,567,196","2,510,332.85",0.55,20/08/2017,0.55,0.55,0,,-0.36
17/08/2017,0.54,0.55,0.54,122,"8,513,198","4,630,898.74",0.55,17/08/2017,0.54,0.55,0.02,,2.8
16/08/2017,0.54,0.54,0.53,50,"2,206,885","1,179,957.65",0.54,16/08/2017,0.54,0.54,0,,-0.37
15/08/2017,0.53,0.55,0.51,128,"11,011,513","5,843,897.06",0.54,15/08/2017,0.54,0.54,0,,0.19
14/08/2017,0.57,0.57,0.54,144,"8,345,388","4,579,822.20",0.54,14/08/2017,0.57,0.54,-0.04,,-6.13
13/08/2017,0.58,0.58,0.57,21,"805,800","462,500.45",0.57,13/08/2017,0.58,0.57,-0.01,,-1.38
10/8/2017,0.57,0.58,0.57,61,"2,947,634","1,695,146.23",0.58,10/8/2017,0.57,0.58,0.01,,1.58
9/8/2017,0.57,0.57,0.56,35,"1,375,983","779,128.09",0.57,9/8/2017,0.57,0.57,0,,0.35
8/8/2017,0.57,0.58,0.57,40,"1,957,878","1,114,879.47",0.57,8/8/2017,0.58,0.57,-0.01,,-1.22
7/8/2017,0.58,0.59,0.58,36,"2,581,324","1,496,186.56",0.58,7/8/2017,0.58,0.58,-0.01,,-1.37
6/8/2017,0.59,0.59,0.58,58,"3,949,967","2,307,407.98",0.58,6/8/2017,0.59,0.58,-0.01,,-1.35
3/8/2017,0.59,0.6,0.59,57,"5,345,709","3,163,946.82",0.59,3/8/2017,0.59,0.59,0,,0
2/8/2017,0.6,0.6,0.59,107,"6,594,233","3,908,126.70",0.59,2/8/2017,0.6,0.59,-0.01,,-0.84
1/8/2017,0.6,0.61,0.6,107,"6,020,631","3,610,023.24",0.6,1/8/2017,0.6,0.6,-0.01,,-1.16
31/07/2017,0.6,0.61,0.6,105,"10,206,229","6,160,092.01",0.6,31/07/2017,0.61,0.6,0,,-0.5
30/07/2017,0.6,0.62,0.6,137,"9,946,270","6,047,130.79",0.61,30/07/2017,0.6,0.61,0.01,,0.83
27/07/2017,0.61,0.61,0.6,102,"6,057,161","3,651,030.30",0.6,27/07/2017,0.61,0.6,-0.01,,-1.15
26/07/2017,0.61,0.63,0.61,525,"43,269,040","26,702,411.48",0.61,26/07/2017,0.6,0.61,0.01,,1.33
25/07/2017,0.59,0.61,0.59,327,"28,210,355","16,972,651.22",0.6,25/07/2017,0.59,0.6,0.01,,1.52
24/07/2017,0.58,0.6,0.58,94,"6,206,067","3,657,419.62",0.59,24/07/2017,0.59,0.59,0,,0.51
23/07/2017,0.59,0.61,0.58,260,"22,544,275","13,358,311.19",0.59,23/07/2017,0.59,0.59,0,,-0.17
20/07/2017,0.59,0.6,0.59,124,"9,298,574","5,491,222.48",0.59,20/07/2017,0.59,0.59,-0.01,,-0.84
19/07/2017,0.61,0.61,0.59,165,"10,821,908","6,475,543.64",0.59,19/07/2017,0.61,0.59,-0.01,,-1.98
18/07/2017,0.59,0.62,0.58,480,"47,893,930","28,985,689.41",0.61,18/07/2017,0.58,0.61,0.02,,3.95
17/07/2017,0.59,0.59,0.58,65,"3,481,987","2,036,192.76",0.58,17/07/2017,0.59,0.58,0,,-0.51
16/07/2017,0.58,0.59,0.58,153,"12,902,041","7,575,071.34",0.59,16/07/2017,0.57,0.59,0.01,,2.09
13/07/2017,0.58,0.58,0.57,79,"4,382,077","2,530,978.85",0.57,13/07/2017,0.58,0.57,-0.01,,-1.03
12/7/2017,0.6,0.6,0.58,172,"13,495,018","7,852,887.93",0.58,12/7/2017,0.59,0.58,-0.01,,-1.69
11/7/2017,0.56,0.6,0.56,602,"45,110,517","26,457,439.16",0.59,11/7/2017,0.55,0.59,0.04,,6.5
10/7/2017,0.55,0.56,0.55,81,"5,097,618","2,833,020.20",0.55,10/7/2017,0.55,0.55,0,,0.54
9/7/2017,0.55,0.56,0.54,159,"11,511,773","6,350,692.00",0.55,9/7/2017,0.54,0.55,0.01,,2.04
6/7/2017,0.54,0.55,0.54,36,"2,242,150","1,217,606.69",0.54,6/7/2017,0.54,0.54,0,,-0.37
5/7/2017,0.55,0.56,0.54,115,"7,056,637","3,875,937.55",0.54,5/7/2017,0.55,0.54,-0.01,,-1.28
4/7/2017,0.56,0.56,0.55,93,"7,254,974","3,986,293.96",0.55,4/7/2017,0.56,0.55,-0.01,,-1.44
3/7/2017,0.55,0.57,0.54,102,"8,408,794","4,667,433.35",0.56,3/7/2017,0.55,0.56,0.01,,0.91
2/7/2017,0.56,0.57,0.54,213,"14,950,824","8,334,672.24",0.55,2/7/2017,0.54,0.55,0.02,,3.18
29/06/2017,0.53,0.55,0.53,45,"2,343,204","1,262,190.91",0.54,29/06/2017,0.53,0.54,0.01,,0.94
28/06/2017,0.53,0.54,0.53,40,"2,049,721","1,090,992.31",0.53,28/06/2017,0.53,0.53,0,,-0.38
22/06/2017,0.55,0.55,0.53,129,"12,006,422","6,481,415.83",0.53,22/06/2017,0.56,0.53,-0.02,,-4.32
21/06/2017,0.58,0.58,0.56,70,"6,095,899","3,430,886.54",0.56,21/06/2017,0.58,0.56,-0.02,,-3.47
20/06/2017,0.59,0.59,0.58,81,"5,634,713","3,266,676.26",0.58,20/06/2017,0.59,0.58,-0.01,,-1.87
19/06/2017,0.59,0.6,0.59,124,"9,119,616","5,399,172.90",0.59,19/06/2017,0.59,0.59,-0.01,,-1.01
18/06/2017,0.6,0.6,0.59,118,"8,195,666","4,858,255.98",0.59,18/06/2017,0.59,0.59,0,,0
15/06/2017,0.59,0.6,0.59,127,"12,076,716","7,208,082.32",0.59,15/06/2017,0.6,0.59,0,,-0.34
14/06/2017,0.6,0.61,0.58,198,"17,336,773","10,379,948.25",0.6,14/06/2017,0.6,0.6,0,,0
13/06/2017,0.61,0.61,0.59,177,"14,846,577","8,903,384.17",0.6,13/06/2017,0.6,0.6,-0.01,,-0.83
12/6/2017,0.6,0.61,0.59,218,"17,570,956","10,536,256.20",0.6,12/6/2017,0.6,0.6,0,,0.67
11/6/2017,0.59,0.61,0.59,444,"37,209,119","22,502,485.46",0.6,11/6/2017,0.58,0.6,0.02,,3.11
8/6/2017,0.57,0.59,0.57,382,"34,527,677","20,244,557.41",0.58,8/6/2017,0.57,0.58,0.01,,1.23
7/6/2017,0.57,0.58,0.56,182,"13,657,398","7,799,637.79",0.57,7/6/2017,0.57,0.57,0,,0.71
6/6/2017,0.58,0.59,0.56,205,"16,161,084","9,264,114.81",0.57,6/6/2017,0.57,0.57,-0.01,,-1.22
5/6/2017,0.58,0.6,0.55,693,"53,337,326","30,668,602.18",0.57,5/6/2017,0.59,0.57,-0.01,,-2.05
4/6/2017,0.55,0.6,0.55,628,"55,949,900","32,222,601.01",0.59,4/6/2017,0.55,0.59,0.04,,7.33
1/6/2017,0.53,0.56,0.53,364,"32,210,208","17,557,815.38",0.55,1/6/2017,0.53,0.55,0.02,,3.41
31/05/2017,0.53,0.54,0.52,227,"17,091,123","9,090,250.49",0.53,31/05/2017,0.53,0.53,0,,-0.19
30/05/2017,0.52,0.53,0.52,100,"7,203,593","3,784,947.62",0.53,30/05/2017,0.52,0.53,0.01,,1.15
29/05/2017,0.51,0.54,0.51,193,"16,271,398","8,557,255.23",0.52,29/05/2017,0.51,0.52,0.01,,1.75
