Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,0,0,0,0,0,0,0,27/08/2017,2.85,2.85,0,,0
29/08/2017,0,0,0,0,0,0,0,27/08/2017,2.85,2.85,0,,0
28/08/2017,0,0,0,0,0,0,0,27/08/2017,2.85,2.85,0,,0
27/08/2017,2.85,2.85,2.85,1,"19,342","55,124.70",2.85,27/08/2017,3.15,2.85,-0.3,,-9.52
24/08/2017,0,0,0,0,0,0,0,23/08/2017,3.15,3.15,0,,0
23/08/2017,3.12,3.15,3.12,7,"457,514","1,439,943.90",3.15,23/08/2017,3.15,3.15,0,,0
22/08/2017,3.12,3.15,3.12,7,"176,772","555,211.80",3.15,22/08/2017,3.1,3.15,0.05,,1.61
21/08/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
20/08/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
17/08/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
16/08/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
15/08/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
14/08/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
13/08/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
10/8/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
9/8/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
8/8/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
7/8/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
6/8/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
3/8/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
2/8/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
1/8/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
31/07/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
30/07/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
27/07/2017,0,0,0,0,0,0,0,26/07/2017,3.1,3.1,0,,0
26/07/2017,3.1,3.1,3.1,2,"10,160","31,496.00",3.1,26/07/2017,3.15,3.1,-0.05,,-1.59
25/07/2017,0,0,0,0,0,0,0,12/7/2017,3.15,3.15,0,,0
24/07/2017,0,0,0,0,0,0,0,12/7/2017,3.15,3.15,0,,0
23/07/2017,0,0,0,0,0,0,0,12/7/2017,3.15,3.15,0,,0
20/07/2017,0,0,0,0,0,0,0,12/7/2017,3.15,3.15,0,,0
19/07/2017,0,0,0,0,0,0,0,12/7/2017,3.15,3.15,0,,0
18/07/2017,0,0,0,0,0,0,0,12/7/2017,3.15,3.15,0,,0
17/07/2017,0,0,0,0,0,0,0,12/7/2017,3.15,3.15,0,,0
16/07/2017,0,0,0,0,0,0,0,12/7/2017,3.15,3.15,0,,0
13/07/2017,0,0,0,0,0,0,0,12/7/2017,3.15,3.15,0,,0
12/7/2017,3.15,3.15,3.15,1,"15,900","50,085.00",3.15,12/7/2017,2.85,3.15,0.3,,10.53
11/7/2017,0,0,0,0,0,0,0,5/7/2017,2.85,2.85,0,,0
10/7/2017,0,0,0,0,0,0,0,5/7/2017,2.85,2.85,0,,0
9/7/2017,0,0,0,0,0,0,0,5/7/2017,2.85,2.85,0,,0
6/7/2017,0,0,0,0,0,0,0,5/7/2017,2.85,2.85,0,,0
5/7/2017,2.85,2.85,2.85,1,"1,559","4,443.15",2.85,5/7/2017,3.15,2.85,-0.3,,-9.52
4/7/2017,0,0,0,0,0,0,0,22/06/2017,3.15,3.15,0,,0
3/7/2017,0,0,0,0,0,0,0,22/06/2017,3.15,3.15,0,,0
2/7/2017,0,0,0,0,0,0,0,22/06/2017,3.15,3.15,0,,0
29/06/2017,0,0,0,0,0,0,0,22/06/2017,3.15,3.15,0,,0
28/06/2017,0,0,0,0,0,0,0,22/06/2017,3.15,3.15,0,,0
22/06/2017,3.15,3.15,3.15,1,"50,000","157,500.00",3.15,22/06/2017,3,3.15,0.15,,5
21/06/2017,3,3,3,1,"40,363","121,089.00",3,21/06/2017,3,3,0,,0
20/06/2017,0,0,0,0,0,0,0,19/06/2017,3,3,0,,0
19/06/2017,3,3,3,2,"50,000","150,000.00",3,19/06/2017,3.1,3,-0.1,,-3.23
18/06/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
15/06/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
14/06/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
13/06/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
12/6/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
11/6/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
8/6/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
7/6/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
6/6/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
5/6/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
4/6/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
1/6/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
31/05/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
30/05/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
29/05/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
28/05/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
25/05/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
24/05/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
23/05/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
22/05/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
21/05/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
18/05/2017,0,0,0,0,0,0,0,17/05/2017,3.1,3.1,0,,0
17/05/2017,3.1,3.1,3.1,1,"9,637","29,874.70",3.1,17/05/2017,3.15,3.1,-0.05,,-1.59
16/05/2017,3.15,3.15,3.14,8,"648,040","2,039,526.13",3.15,16/05/2017,3.14,3.15,0.01,,0.32
15/05/2017,3.14,3.14,3.14,2,"9,735,918","30,570,782.52",3.14,15/05/2017,3.15,3.14,-0.01,,-0.32
14/05/2017,0,0,0,0,0,0,0,11/5/2017,3.15,3.15,0,,0
11/5/2017,3.15,3.15,3.15,1,"7,677","24,182.55",3.15,11/5/2017,3.1,3.15,0.05,,1.61
10/5/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
9/5/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
8/5/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
7/5/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
4/5/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
3/5/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
2/5/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
1/5/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
30/04/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
27/04/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
26/04/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
25/04/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
24/04/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
20/04/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
19/04/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
18/04/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
17/04/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
16/04/2017,0,0,0,0,0,0,0,13/04/2017,3.1,3.1,0,,0
13/04/2017,3.1,3.1,3.1,1,"4,600","14,260.00",3.1,13/04/2017,3.19,3.1,-0.09,,-2.82
12/4/2017,3.15,3.19,3.15,11,"194,037","611,616.55",3.19,12/4/2017,3.49,3.19,-0.3,,-8.6
11/4/2017,3.5,3.5,3.15,5,"31,763","101,019.87",3.49,11/4/2017,3.5,3.49,-0.01,,-0.29
10/4/2017,0,0,0,0,0,0,0,5/4/2017,3.5,3.5,0,,0
9/4/2017,0,0,0,0,0,0,0,5/4/2017,3.5,3.5,0,,0
6/4/2017,0,0,0,0,0,0,0,5/4/2017,3.5,3.5,0,,0
5/4/2017,3.5,3.5,3.5,2,"73,600","257,600.00",3.5,5/4/2017,3.5,3.5,0,,0
4/4/2017,3.5,3.5,3.5,1,"7,763","27,170.50",3.5,4/4/2017,3.21,3.5,0.29,,9.03
3/4/2017,3.21,3.21,3.21,1,"10,000","32,100.00",3.21,3/4/2017,3.56,3.21,-0.35,,-9.83
2/4/2017,3.56,3.56,3.56,1,"10,000","35,600.00",3.56,2/4/2017,3.1,3.56,0.46,,14.84
30/03/2017,3.1,3.1,3.1,1,"1,034","3,205.40",3.1,30/03/2017,3,3.1,0.1,,3.33
29/03/2017,3,3,3,1,400,"1,200.00",3,29/03/2017,3,3,0,,0
28/03/2017,0,0,0,0,0,0,0,26/03/2017,3,3,0,,0
27/03/2017,0,0,0,0,0,0,0,26/03/2017,3,3,0,,0
26/03/2017,3,3,3,3,"14,600","43,800.00",3,26/03/2017,3.1,3,-0.1,,-3.23
23/03/2017,0,0,0,0,0,0,0,16/03/2017,3.1,3.1,0,,0
22/03/2017,0,0,0,0,0,0,0,16/03/2017,3.1,3.1,0,,0
21/03/2017,0,0,0,0,0,0,0,16/03/2017,3.1,3.1,0,,0
20/03/2017,0,0,0,0,0,0,0,16/03/2017,3.1,3.1,0,,0
19/03/2017,0,0,0,0,0,0,0,16/03/2017,3.1,3.1,0,,0
16/03/2017,3.1,3.1,3.1,1,100,310,3.1,16/03/2017,3,3.1,0.1,,3.33
15/03/2017,0,0,0,0,0,0,0,6/3/2017,3,3,0,,0
14/03/2017,0,0,0,0,0,0,0,6/3/2017,3,3,0,,0
13/03/2017,0,0,0,0,0,0,0,6/3/2017,3,3,0,,0
12/3/2017,0,0,0,0,0,0,0,6/3/2017,3,3,0,,0
9/3/2017,0,0,0,0,0,0,0,6/3/2017,3,3,0,,0
8/3/2017,0,0,0,0,0,0,0,6/3/2017,3,3,0,,0
7/3/2017,0,0,0,0,0,0,0,6/3/2017,3,3,0,,0
6/3/2017,3,3,3,1,"2,000","6,000.00",3,6/3/2017,3.1,3,-0.1,,-3.23
5/3/2017,0,0,0,0,0,0,0,2/3/2017,3.1,3.1,0,,0
