Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,0.47,0.47,0.47,41,"2,550,879","1,194,874.30",0.47,30/08/2017,0.47,0.47,0,,0
29/08/2017,0.48,0.48,0.47,38,"3,387,002","1,597,087.87",0.47,29/08/2017,0.48,0.47,-0.01,,-1.89
28/08/2017,0.48,0.48,0.47,35,"2,479,768","1,179,080.59",0.48,28/08/2017,0.48,0.48,0,,-0.21
27/08/2017,0.48,0.48,0.46,62,"5,815,267","2,752,742.27",0.48,27/08/2017,0.48,0.48,0,,0.21
24/08/2017,0.47,0.48,0.47,210,"21,778,798","10,431,657.02",0.48,24/08/2017,0.47,0.48,0.01,,1.71
23/08/2017,0.47,0.47,0.47,39,"5,776,300","2,703,965.23",0.47,23/08/2017,0.46,0.47,0,,0.86
22/08/2017,0.47,0.47,0.46,43,"2,553,022","1,196,021.68",0.46,22/08/2017,0.47,0.46,-0.01,,-1.28
21/08/2017,0.46,0.48,0.46,155,"17,240,356","8,109,193.16",0.47,21/08/2017,0.46,0.47,0.01,,2.84
20/08/2017,0.45,0.46,0.45,49,"4,123,393","1,885,930.49",0.46,20/08/2017,0.45,0.46,0.01,,1.78
17/08/2017,0.45,0.45,0.45,41,"3,139,609","1,414,732.92",0.45,17/08/2017,0.45,0.45,0,,-0.22
16/08/2017,0.45,0.46,0.44,64,"3,494,922","1,577,726.62",0.45,16/08/2017,0.45,0.45,0.01,,1.12
15/08/2017,0.45,0.45,0.44,65,"4,564,318","2,031,272.44",0.45,15/08/2017,0.45,0.45,-0.01,,-1.77
14/08/2017,0.45,0.45,0.45,59,"4,730,041","2,129,473.82",0.45,14/08/2017,0.45,0.45,0,,0.44
13/08/2017,0.45,0.46,0.45,52,"5,126,566","2,322,878.93",0.45,13/08/2017,0.45,0.45,0,,-0.66
10/8/2017,0.46,0.46,0.45,27,"2,168,851","985,693.41",0.45,10/8/2017,0.46,0.45,0,,-0.22
9/8/2017,0.45,0.46,0.45,45,"5,169,127","2,336,760.08",0.46,9/8/2017,0.45,0.46,0,,0.44
8/8/2017,0.46,0.46,0.45,42,"3,620,810","1,641,556.02",0.45,8/8/2017,0.46,0.45,-0.01,,-1.52
7/8/2017,0.46,0.47,0.46,40,"2,891,017","1,340,859.47",0.46,7/8/2017,0.46,0.46,0,,0
6/8/2017,0.47,0.47,0.46,27,"1,563,532","722,845.18",0.46,6/8/2017,0.46,0.46,0,,-0.65
3/8/2017,0.46,0.47,0.46,45,"1,815,978","843,309.26",0.46,3/8/2017,0.47,0.46,0,,-0.43
2/8/2017,0.47,0.47,0.46,59,"6,128,862","2,854,636.18",0.47,2/8/2017,0.47,0.47,-0.01,,-1.06
1/8/2017,0.47,0.48,0.47,61,"5,364,800","2,529,478.98",0.47,1/8/2017,0.47,0.47,0,,-0.21
31/07/2017,0.48,0.48,0.47,241,"25,247,362","12,071,792.58",0.47,31/07/2017,0.47,0.47,0,,0.43
30/07/2017,0.47,0.48,0.47,121,"8,779,823","4,145,879.80",0.47,30/07/2017,0.46,0.47,0.01,,1.08
27/07/2017,0.46,0.47,0.46,48,"3,318,613","1,539,062.01",0.46,27/07/2017,0.46,0.46,0,,0.87
26/07/2017,0.47,0.48,0.46,163,"12,813,024","5,998,278.61",0.46,26/07/2017,0.47,0.46,-0.01,,-1.71
25/07/2017,0.45,0.48,0.45,659,"79,835,932","37,656,212.71",0.47,25/07/2017,0.45,0.47,0.02,,3.54
