Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,0.59,0.6,0.59,17,"952,867","567,973.81",0.6,30/08/2017,0.6,0.6,0.01,,1.01
29/08/2017,0.61,0.61,0.6,8,"125,200","74,621.00",0.6,29/08/2017,0.6,0.6,-0.01,,-0.83
28/08/2017,0.6,0.6,0.6,15,"892,014","534,571.97",0.6,28/08/2017,0.61,0.6,-0.01,,-0.83
27/08/2017,0.61,0.61,0.6,24,"1,019,885","613,084.10",0.61,27/08/2017,0.61,0.61,0,,-0.66
24/08/2017,0.61,0.61,0.6,35,"1,911,547","1,158,657.52",0.61,24/08/2017,0.61,0.61,0,,0
23/08/2017,0.63,0.63,0.6,65,"4,395,344","2,699,472.88",0.61,23/08/2017,0.62,0.61,-0.01,,-1.77
22/08/2017,0.61,0.63,0.61,76,"5,104,311","3,172,491.31",0.62,22/08/2017,0.61,0.62,0.02,,2.48
21/08/2017,0.6,0.63,0.6,109,"4,672,288","2,878,233.66",0.61,21/08/2017,0.59,0.61,0.01,,2.37
20/08/2017,0.58,0.6,0.58,31,"1,421,384","839,542.58",0.59,20/08/2017,0.59,0.59,0,,0.51
17/08/2017,0.6,0.6,0.58,46,"2,572,578","1,511,405.87",0.59,17/08/2017,0.6,0.59,-0.01,,-1.18
16/08/2017,0.58,0.6,0.58,38,"2,070,759","1,209,613.19",0.6,16/08/2017,0.59,0.6,0.01,,0.85
15/08/2017,0.58,0.59,0.55,38,"2,407,321","1,389,925.91",0.59,15/08/2017,0.59,0.59,0.01,,0.85
14/08/2017,0.59,0.6,0.58,26,"1,438,618","850,976.90",0.59,14/08/2017,0.6,0.59,-0.02,,-2.5
13/08/2017,0.61,0.62,0.58,23,"1,236,894","741,024.30",0.6,13/08/2017,0.62,0.6,-0.02,,-3.07
10/8/2017,0.62,0.62,0.61,10,"421,000","258,202.20",0.62,10/8/2017,0.63,0.62,-0.01,,-0.96
9/8/2017,0.62,0.63,0.61,7,"211,000","130,105.38",0.63,9/8/2017,0.63,0.63,0,,0
