Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,0.69,0.71,0.68,65,"3,867,145","2,679,976.31",0.68,30/08/2017,0.69,0.68,-0.01,,-0.87
29/08/2017,0.68,0.7,0.68,47,"3,020,391","2,081,891.03",0.69,29/08/2017,0.69,0.69,0,,-0.15
28/08/2017,0.69,0.69,0.67,3,"109,857","74,581.90",0.69,28/08/2017,0.68,0.69,0.01,,1.93
27/08/2017,0.67,0.68,0.67,3,"166,519","112,340.33",0.68,27/08/2017,0.69,0.68,-0.01,,-2.03
24/08/2017,0.68,0.69,0.68,10,"400,287","273,102.54",0.69,24/08/2017,0.69,0.69,0,,-0.29
23/08/2017,0,0,0,0,0,0,0,22/08/2017,0.69,0.69,0,,0
22/08/2017,0.67,0.69,0.67,2,"31,273","21,395.46",0.69,22/08/2017,0.69,0.69,0.01,,0.88
21/08/2017,0.69,0.71,0.69,6,"236,732","162,778.96",0.69,21/08/2017,0.7,0.69,-0.02,,-2.14
20/08/2017,0.66,0.71,0.63,28,"1,184,971","810,492.29",0.7,20/08/2017,0.68,0.7,0.02,,2.34
17/08/2017,0.67,0.69,0.67,35,"1,548,912","1,043,732.12",0.68,17/08/2017,0.68,0.68,0.01,,0.88
16/08/2017,0.66,0.68,0.65,18,"640,063","424,223.81",0.68,16/08/2017,0.67,0.68,0.01,,1.95
15/08/2017,0.7,0.7,0.63,59,"3,634,805","2,407,208.87",0.67,15/08/2017,0.7,0.67,-0.04,,-5.14
14/08/2017,0.71,0.71,0.7,19,"884,000","624,104.59",0.7,14/08/2017,0.72,0.7,-0.02,,-2.64
13/08/2017,0.72,0.72,0.71,12,"284,363","202,747.73",0.72,13/08/2017,0.72,0.72,0,,0.28
10/8/2017,0.71,0.72,0.71,20,"1,275,024","910,268.65",0.72,10/8/2017,0.73,0.72,-0.02,,-2.18
9/8/2017,0.73,0.74,0.71,15,"404,557","290,923.38",0.73,9/8/2017,0.74,0.73,0,,-0.54
8/8/2017,0.73,0.74,0.73,9,"309,706","225,279.18",0.74,8/8/2017,0.73,0.74,0.01,,1.1
7/8/2017,0.75,0.75,0.73,37,"2,291,624","1,685,508.68",0.73,7/8/2017,0.76,0.73,-0.03,,-3.95
6/8/2017,0.77,0.77,0.75,39,"2,560,659","1,948,014.72",0.76,6/8/2017,0.76,0.76,0.01,,0.66
3/8/2017,0.74,0.79,0.74,330,"18,023,130","13,771,909.89",0.76,3/8/2017,0.73,0.76,0.02,,3.28
2/8/2017,0.71,0.74,0.71,37,"3,054,036","2,229,385.87",0.73,2/8/2017,0.73,0.73,0.01,,0.83
1/8/2017,0.71,0.73,0.71,4,"163,600","115,667.00",0.73,1/8/2017,0.73,0.73,0,,0
31/07/2017,0.73,0.73,0.71,3,"83,400","59,300.00",0.73,31/07/2017,0.71,0.73,0.02,,2.11
30/07/2017,0.71,0.71,0.71,2,"60,301","42,813.71",0.71,30/07/2017,0.71,0.71,0,,0
27/07/2017,0.71,0.71,0.71,1,"50,000","35,500.00",0.71,27/07/2017,0.72,0.71,-0.01,,-0.7
26/07/2017,0.7,0.72,0.7,9,"293,255","207,836.06",0.72,26/07/2017,0.72,0.72,0,,-0.56
25/07/2017,0.72,0.73,0.71,20,"557,659","399,172.29",0.72,25/07/2017,0.71,0.72,0.01,,1.27
24/07/2017,0.71,0.71,0.71,4,"255,273","180,643.01",0.71,24/07/2017,0.72,0.71,-0.01,,-1.39
23/07/2017,0.71,0.72,0.71,14,"911,434","643,885.99",0.72,23/07/2017,0.72,0.72,0.01,,0.7
20/07/2017,0.7,0.72,0.7,13,"578,972","410,830.90",0.72,20/07/2017,0.72,0.72,-0.01,,-1.11
19/07/2017,0.71,0.72,0.71,7,"357,107","255,064.33",0.72,19/07/2017,0.71,0.72,0.01,,1.83
