Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,4.95,5.1,4.95,27,"386,495","1,938,737.54",5.1,30/08/2017,5,5.1,0.1,,2
29/08/2017,5.1,5.1,5,14,"206,257","1,033,346.99",5,29/08/2017,5.01,5,-0.01,,-0.2
28/08/2017,5,5.01,5,22,"371,913","1,859,706.00",5.01,28/08/2017,5,5.01,0.01,,0.2
27/08/2017,5.11,5.11,4.85,18,"104,686","525,814.88",5,27/08/2017,5.11,5,-0.11,,-2.15
24/08/2017,5.11,5.17,5.11,8,"216,368","1,115,795.64",5.11,24/08/2017,5.22,5.11,-0.11,,-2.11
23/08/2017,5.11,5.22,5.11,8,"586,518","3,031,108.32",5.22,23/08/2017,5.2,5.22,0.02,,0.38
22/08/2017,5.11,5.2,5.11,15,"204,007","1,055,407.85",5.2,22/08/2017,5.12,5.2,0.08,,1.56
21/08/2017,5.12,5.2,5.12,10,"34,355","177,546.44",5.12,21/08/2017,5.15,5.12,-0.03,,-0.58
20/08/2017,5.13,5.15,5.13,3,"6,734","34,583.48",5.15,20/08/2017,5.15,5.15,0,,0
17/08/2017,5.13,5.15,5.13,8,"49,000","252,173.78",5.15,17/08/2017,5.11,5.15,0.04,,0.78
16/08/2017,5.18,5.27,5.11,12,"43,249","224,161.67",5.11,16/08/2017,5.11,5.11,0,,0
15/08/2017,5.11,5.12,5.11,28,"680,640","3,481,126.80",5.11,15/08/2017,5.1,5.11,0.01,,0.2
14/08/2017,5.12,5.12,5.1,8,"71,355","364,210.50",5.1,14/08/2017,5.2,5.1,-0.1,,-1.92
13/08/2017,5.15,5.2,5.13,15,"68,283","353,332.23",5.2,13/08/2017,5.2,5.2,0,,0
10/8/2017,5.2,5.27,5.2,9,"86,396","451,184.27",5.2,10/8/2017,5.22,5.2,-0.02,,-0.38
9/8/2017,5.21,5.25,5.2,17,"152,448","797,171.80",5.22,9/8/2017,5.22,5.22,0,,0
8/8/2017,5.2,5.22,5.2,13,"207,239","1,081,208.36",5.22,8/8/2017,5.2,5.22,0.02,,0.38
7/8/2017,5.27,5.27,5.2,17,"544,929","2,867,098.31",5.2,7/8/2017,5.25,5.2,-0.05,,-0.95
6/8/2017,5.12,5.27,5.12,12,"174,592","916,564.34",5.25,6/8/2017,5.27,5.25,-0.02,,-0.38
3/8/2017,5.28,5.3,5.27,13,"345,957","1,832,231.47",5.27,3/8/2017,5.34,5.27,-0.07,,-1.31
2/8/2017,5.3,5.34,5.27,24,"420,051","2,226,247.37",5.34,2/8/2017,5.3,5.34,0.04,,0.75
1/8/2017,5.25,5.34,5.25,42,"837,589","4,436,340.04",5.3,1/8/2017,5.3,5.3,0,,0
31/07/2017,5.26,5.3,5.26,13,"158,468","839,631.67",5.3,31/07/2017,5.26,5.3,0.04,,0.76
30/07/2017,5.3,5.31,5.25,13,"272,205","1,441,868.30",5.26,30/07/2017,5.37,5.26,-0.11,,-2.05
27/07/2017,5.35,5.45,5.35,25,"361,375","1,948,924.15",5.37,27/07/2017,5.35,5.37,0.02,,0.37
26/07/2017,5.35,5.4,5.35,25,"560,778","3,027,941.40",5.35,26/07/2017,5.4,5.35,-0.05,,-0.93
25/07/2017,5.31,5.4,5.31,14,"173,766","937,157.37",5.4,25/07/2017,5.3,5.4,0.1,,1.89
24/07/2017,5.3,5.3,5.27,17,"600,752","3,183,890.47",5.3,24/07/2017,5.27,5.3,0.03,,0.57
23/07/2017,5.26,5.27,5.26,2,"5,658","29,781.07",5.27,23/07/2017,5.31,5.27,-0.04,,-0.75
20/07/2017,5.31,5.4,5.31,14,"905,523","4,886,696.20",5.31,20/07/2017,5.31,5.31,0,,0
19/07/2017,5.31,5.31,5.31,1,399,"2,118.69",5.31,19/07/2017,5.4,5.31,-0.09,,-1.67
18/07/2017,5.24,5.4,5.24,155,"10,228,798","55,140,220.41",5.4,18/07/2017,5.4,5.4,0,,0
17/07/2017,5.22,5.4,5.22,9,"138,994","745,233.96",5.4,17/07/2017,5.35,5.4,0.05,,0.93
16/07/2017,5.35,5.35,5.35,4,"50,000","267,500.00",5.35,16/07/2017,5.35,5.35,0,,0
13/07/2017,5.3,5.48,5.3,31,"848,160","4,538,409.98",5.35,13/07/2017,5.34,5.35,0.01,,0.19
12/7/2017,5.3,5.34,5.3,30,"707,782","3,761,429.11",5.34,12/7/2017,5.29,5.34,0.05,,0.95
11/7/2017,5.2,5.29,5.2,5,"19,241","101,492.50",5.29,11/7/2017,5.36,5.29,-0.07,,-1.31
10/7/2017,5.4,5.45,5.35,77,"2,348,359","12,678,355.65",5.36,10/7/2017,5.36,5.36,0,,0
9/7/2017,5.3,5.5,5.3,18,"60,879","330,377.54",5.36,9/7/2017,5.41,5.36,-0.05,,-0.92
6/7/2017,5.3,5.44,5.3,27,"415,954","2,250,496.18",5.41,6/7/2017,5.39,5.41,0.02,,0.37
5/7/2017,5.27,5.39,5.27,29,"529,080","2,821,450.13",5.39,5/7/2017,5.26,5.39,0.13,,2.47
4/7/2017,5.28,5.35,5.26,40,"718,645","3,808,245.16",5.26,4/7/2017,5.24,5.26,0.02,,0.38
3/7/2017,5.28,5.29,5.22,25,"578,044","3,021,582.14",5.24,3/7/2017,5.28,5.24,-0.04,,-0.76
2/7/2017,5.2,5.28,5.2,8,"161,969","843,038.80",5.28,2/7/2017,5.18,5.28,0.1,,1.93
29/06/2017,5.09,5.2,5.09,31,"1,286,077","6,619,412.36",5.18,29/06/2017,5.1,5.18,0.08,,1.57
28/06/2017,5.11,5.13,5.1,6,"36,260","185,016.21",5.1,28/06/2017,5.11,5.1,-0.01,,-0.2
22/06/2017,5.04,5.28,5.04,22,"286,320","1,482,703.93",5.11,22/06/2017,5.15,5.11,-0.04,,-0.78
21/06/2017,5.11,5.15,5,27,"442,139","2,258,295.59",5.15,21/06/2017,5.11,5.15,0.04,,0.78
20/06/2017,5.11,5.11,5.11,12,"91,390","467,002.90",5.11,20/06/2017,5.11,5.11,0,,0
19/06/2017,5.1,5.15,5.1,16,"197,864","1,011,110.40",5.11,19/06/2017,5.11,5.11,0,,0
18/06/2017,5.11,5.13,5.11,9,"154,672","791,373.92",5.11,18/06/2017,5.11,5.11,0,,0
15/06/2017,5.11,5.31,5.1,158,"5,202,927","27,136,005.43",5.11,15/06/2017,5.15,5.11,-0.04,,-0.78
14/06/2017,5.05,5.15,5.05,67,"1,264,691","6,433,095.95",5.15,14/06/2017,5.1,5.15,0.05,,0.98
13/06/2017,5.09,5.15,5.09,29,"1,228,780","6,262,811.11",5.1,13/06/2017,5.09,5.1,0.01,,0.2
12/6/2017,5.1,5.1,5.09,59,"2,220,912","11,305,032.78",5.09,12/6/2017,5.1,5.09,-0.01,,-0.2
11/6/2017,5.1,5.12,5.05,69,"2,255,581","11,476,532.17",5.1,11/6/2017,5.09,5.1,0.01,,0.2
8/6/2017,4.98,5.1,4.93,38,"699,321","3,515,053.17",5.09,8/6/2017,5.02,5.09,0.07,,1.39
7/6/2017,4.85,5.09,4.85,22,"254,559","1,256,271.65",5.02,7/6/2017,4.99,5.02,0.03,,0.6
6/6/2017,4.91,4.99,4.91,80,"932,854","4,600,205.11",4.99,6/6/2017,4.94,4.99,0.05,,1.01
5/6/2017,4.95,5,4.91,24,"305,670","1,523,827.04",4.94,5/6/2017,5.08,4.94,-0.14,,-2.76
4/6/2017,5,5.08,4.96,8,"96,645","484,020.84",5.08,4/6/2017,4.99,5.08,0.09,,1.8
1/6/2017,5.15,5.15,4.99,25,"381,914","1,924,315.12",4.99,1/6/2017,5.1,4.99,-0.11,,-2.16
31/05/2017,5.11,5.17,5.09,20,"288,297","1,477,459.59",5.1,31/05/2017,5.11,5.1,-0.01,,-0.2
30/05/2017,5.16,5.17,5.05,9,"96,394","493,004.49",5.11,30/05/2017,5.1,5.11,0.01,,0.2
29/05/2017,4.87,5.1,4.87,24,"382,300","1,906,956.66",5.1,29/05/2017,4.91,5.1,0.19,,3.87
