Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,0.91,0.92,0.9,23,"1,379,000","1,255,370.20",0.92,30/08/2017,0.9,0.92,0.01,,1.44
29/08/2017,0.9,0.9,0.9,2,"20,000","18,058.00",0.9,29/08/2017,0.91,0.9,0,,-0.22
28/08/2017,0.91,0.91,0.9,8,"249,800","225,471.00",0.91,28/08/2017,0.9,0.91,0,,0.33
27/08/2017,0.9,0.9,0.9,7,"158,169","142,495.06",0.9,27/08/2017,0.91,0.9,0,,-0.33
24/08/2017,0.9,0.92,0.9,6,"233,682","211,813.82",0.91,24/08/2017,0.9,0.91,0,,0.33
23/08/2017,0.93,0.93,0.9,30,"1,710,045","1,554,325.14",0.9,23/08/2017,0.93,0.9,-0.02,,-2.49
22/08/2017,0.93,0.93,0.93,2,"50,000","46,350.00",0.93,22/08/2017,0.93,0.93,0,,0
21/08/2017,0.92,0.93,0.92,3,"269,517","248,205.64",0.93,21/08/2017,0.93,0.93,0,,-0.22
20/08/2017,0.93,0.93,0.92,16,"758,052","702,360.65",0.93,20/08/2017,0.93,0.93,0,,0.11
17/08/2017,0.9,0.93,0.9,48,"5,134,747","4,709,400.57",0.93,17/08/2017,0.91,0.93,0.02,,2.09
16/08/2017,0.87,0.91,0.87,19,"726,000","650,247.00",0.91,16/08/2017,0.88,0.91,0.03,,2.83
15/08/2017,0.9,0.91,0.85,40,"2,277,881","2,015,946.47",0.88,15/08/2017,0.91,0.88,-0.03,,-3.08
14/08/2017,0.91,0.92,0.9,27,"2,840,708","2,583,123.08",0.91,14/08/2017,0.92,0.91,-0.01,,-1.09
13/08/2017,0.92,0.92,0.92,5,"155,000","142,710.00",0.92,13/08/2017,0.93,0.92,-0.01,,-1.08
10/8/2017,0.92,0.93,0.92,7,"221,622","205,657.11",0.93,10/8/2017,0.93,0.93,0,,0
9/8/2017,0.93,0.93,0.93,21,"1,069,292","995,033.33",0.93,9/8/2017,0.94,0.93,-0.01,,-1.06
8/8/2017,0.95,0.95,0.94,34,"4,366,000","4,103,907.00",0.94,8/8/2017,0.95,0.94,-0.01,,-1.16
7/8/2017,0.97,0.97,0.95,30,"1,828,511","1,754,016.61",0.95,7/8/2017,0.96,0.95,-0.01,,-0.94
6/8/2017,0.96,0.96,0.95,12,"426,777","407,023.60",0.96,6/8/2017,0.96,0.96,0,,0.21
3/8/2017,0.96,0.97,0.96,17,"966,834","930,179.64",0.96,3/8/2017,0.96,0.96,0,,0.1
2/8/2017,0.96,0.96,0.95,27,"2,802,059","2,667,327.05",0.96,2/8/2017,0.96,0.96,-0.01,,-0.62
1/8/2017,0.97,0.98,0.96,54,"4,864,384","4,719,360.34",0.96,1/8/2017,0.97,0.96,-0.01,,-0.72
31/07/2017,0.97,0.97,0.95,41,"3,217,561","3,102,419.32",0.97,31/07/2017,0.97,0.97,0,,-0.41
30/07/2017,0.97,0.98,0.97,60,"5,082,284","4,956,328.47",0.97,30/07/2017,0.96,0.97,0.01,,1.46
27/07/2017,0.97,0.98,0.96,48,"4,138,154","3,985,541.34",0.96,27/07/2017,0.97,0.96,-0.01,,-1.03
26/07/2017,0.96,0.98,0.95,174,"15,219,643","14,770,541.26",0.97,26/07/2017,0.96,0.97,0.01,,1.46
25/07/2017,0.95,0.97,0.94,71,"6,412,508","6,120,321.64",0.96,25/07/2017,0.95,0.96,0.01,,0.63
24/07/2017,0.96,0.96,0.94,45,"2,722,752","2,594,016.90",0.95,24/07/2017,0.96,0.95,-0.01,,-0.52
23/07/2017,0.93,0.97,0.93,212,"18,973,648","18,197,770.05",0.96,23/07/2017,0.94,0.96,0.02,,2.14
20/07/2017,0.93,0.94,0.92,32,"1,724,849","1,601,420.91",0.94,20/07/2017,0.93,0.94,0.01,,0.54
