Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,0.52,0.53,0.52,47,"4,093,255","2,135,859.55",0.52,30/08/2017,0.52,0.52,0.01,,1.36
29/08/2017,0.52,0.52,0.52,40,"3,920,837","2,022,661.22",0.52,29/08/2017,0.52,0.52,-0.01,,-1.34
28/08/2017,0.52,0.52,0.52,38,"2,570,863","1,333,367.47",0.52,28/08/2017,0.52,0.52,0,,0
27/08/2017,0.52,0.53,0.52,27,"2,202,955","1,147,503.93",0.52,27/08/2017,0.52,0.52,0,,0
24/08/2017,0.53,0.53,0.52,24,"1,756,900","917,071.65",0.52,24/08/2017,0.52,0.52,0,,0
23/08/2017,0.52,0.53,0.52,59,"5,758,796","3,030,119.88",0.52,23/08/2017,0.52,0.52,0,,0.19
22/08/2017,0.52,0.52,0.52,27,"1,847,053","962,341.21",0.52,22/08/2017,0.52,0.52,0,,0.19
21/08/2017,0.52,0.53,0.52,39,"3,056,212","1,596,269.48",0.52,21/08/2017,0.52,0.52,0,,0
20/08/2017,0.52,0.53,0.52,41,"3,235,097","1,683,193.57",0.52,20/08/2017,0.52,0.52,0,,0
17/08/2017,0.52,0.52,0.51,58,"5,055,386","2,616,828.69",0.52,17/08/2017,0.52,0.52,0,,0.39
16/08/2017,0.52,0.53,0.52,49,"2,795,677","1,455,646.48",0.52,16/08/2017,0.53,0.52,-0.01,,-1.33
15/08/2017,0.52,0.53,0.52,88,"6,568,892","3,425,650.22",0.53,15/08/2017,0.53,0.53,0,,0
14/08/2017,0.52,0.53,0.52,61,"6,267,052","3,266,740.54",0.53,14/08/2017,0.52,0.53,0,,0.57
13/08/2017,0.53,0.53,0.52,44,"6,261,000","3,268,588.59",0.52,13/08/2017,0.53,0.52,-0.01,,-1.51
10/8/2017,0.53,0.53,0.53,23,"2,069,168","1,096,659.04",0.53,10/8/2017,0.53,0.53,0,,-0.38
9/8/2017,0.53,0.54,0.53,44,"3,911,539","2,082,145.87",0.53,9/8/2017,0.53,0.53,0,,0.38
8/8/2017,0.53,0.53,0.53,34,"2,696,498","1,428,463.94",0.53,8/8/2017,0.53,0.53,0,,0
7/8/2017,0.54,0.54,0.53,37,"2,368,065","1,256,224.38",0.53,7/8/2017,0.53,0.53,0,,-0.19
6/8/2017,0.53,0.53,0.53,50,"5,531,199","2,930,892.07",0.53,6/8/2017,0.53,0.53,0,,0.19
3/8/2017,0.53,0.53,0.53,42,"2,977,194","1,574,595.00",0.53,3/8/2017,0.53,0.53,0,,0.38
2/8/2017,0.53,0.53,0.52,23,"868,201","457,721.18",0.53,2/8/2017,0.53,0.53,0,,0.57
1/8/2017,0.53,0.53,0.53,43,"3,634,573","1,919,730.26",0.53,1/8/2017,0.53,0.53,0,,-0.76
31/07/2017,0.52,0.54,0.52,64,"7,281,145","3,849,593.04",0.53,31/07/2017,0.53,0.53,0,,0.76
30/07/2017,0.52,0.53,0.52,48,"3,075,753","1,602,891.10",0.53,30/07/2017,0.53,0.53,0,,-0.76
27/07/2017,0.53,0.53,0.52,42,"2,461,878","1,289,667.68",0.53,27/07/2017,0.53,0.53,0,,0
26/07/2017,0.53,0.53,0.53,25,"2,148,270","1,131,722.61",0.53,26/07/2017,0.53,0.53,0,,-0.19
25/07/2017,0.53,0.54,0.53,89,"5,233,540","2,770,069.19",0.53,25/07/2017,0.53,0.53,0,,-0.75
24/07/2017,0.54,0.54,0.53,69,"7,074,469","3,781,622.46",0.53,24/07/2017,0.53,0.53,0,,0.38
23/07/2017,0.54,0.55,0.53,361,"37,865,591","20,566,884.55",0.53,23/07/2017,0.54,0.53,-0.01,,-2.03
20/07/2017,0.53,0.55,0.53,234,"29,768,394","16,046,611.88",0.54,20/07/2017,0.53,0.54,0.02,,3.04
19/07/2017,0.53,0.53,0.53,75,"5,896,004","3,122,521.77",0.53,19/07/2017,0.53,0.53,0,,0.19
18/07/2017,0.54,0.54,0.53,61,"6,028,400","3,189,294.69",0.53,18/07/2017,0.53,0.53,-0.01,,-1.13
17/07/2017,0.53,0.53,0.53,79,"8,133,343","4,328,123.56",0.53,17/07/2017,0.53,0.53,0,,0.38
16/07/2017,0.53,0.53,0.52,91,"10,166,904","5,368,472.63",0.53,16/07/2017,0.53,0.53,0,,0.38
13/07/2017,0.53,0.53,0.53,96,"14,412,761","7,614,548.29",0.53,13/07/2017,0.53,0.53,0,,-0.19
12/7/2017,0.52,0.53,0.52,110,"11,602,086","6,099,900.70",0.53,12/7/2017,0.52,0.53,0.01,,1.73
11/7/2017,0.52,0.54,0.52,220,"33,478,055","17,541,291.61",0.52,11/7/2017,0.52,0.52,0,,0
10/7/2017,0.51,0.52,0.51,91,"8,822,364","4,570,101.37",0.52,10/7/2017,0.51,0.52,0.01,,1.36
9/7/2017,0.51,0.52,0.51,44,"3,399,782","1,737,683.17",0.51,9/7/2017,0.51,0.51,0,,0.59
6/7/2017,0.51,0.51,0.51,16,"586,607","298,153.57",0.51,6/7/2017,0.51,0.51,0,,0
5/7/2017,0.51,0.52,0.51,55,"4,197,985","2,148,475.76",0.51,5/7/2017,0.52,0.51,-0.01,,-1.35
4/7/2017,0.51,0.52,0.5,77,"6,326,384","3,261,023.53",0.52,4/7/2017,0.51,0.52,0,,0.58
3/7/2017,0.51,0.52,0.51,69,"4,350,569","2,247,249.74",0.51,3/7/2017,0.52,0.51,0,,-0.19
2/7/2017,0.51,0.52,0.51,88,"8,632,140","4,437,898.90",0.52,2/7/2017,0.51,0.52,0.01,,1.18
29/06/2017,0.5,0.51,0.5,81,"4,615,693","2,325,425.80",0.51,29/06/2017,0.5,0.51,0.01,,1.8
28/06/2017,0.5,0.51,0.5,36,"1,871,008","941,632.88",0.5,28/06/2017,0.51,0.5,-0.01,,-0.99
22/06/2017,0.52,0.52,0.5,125,"10,215,508","5,173,981.25",0.51,22/06/2017,0.52,0.51,-0.01,,-2.7
21/06/2017,0.52,0.52,0.52,59,"3,800,587","1,969,559.44",0.52,21/06/2017,0.53,0.52,-0.01,,-1.14
20/06/2017,0.53,0.53,0.52,76,"7,427,135","3,896,711.59",0.53,20/06/2017,0.53,0.53,0,,-0.19
19/06/2017,0.53,0.53,0.53,62,"3,912,973","2,070,002.52",0.53,19/06/2017,0.53,0.53,0,,-0.57
18/06/2017,0.52,0.54,0.52,166,"12,567,613","6,649,658.70",0.53,18/06/2017,0.52,0.53,0.01,,1.54
15/06/2017,0.53,0.53,0.52,192,"17,250,824","8,993,382.76",0.52,15/06/2017,0.53,0.52,-0.01,,-1.51
14/06/2017,0.53,0.54,0.52,183,"17,602,182","9,347,175.11",0.53,14/06/2017,0.53,0.53,0,,-0.19
13/06/2017,0.52,0.53,0.52,220,"24,426,412","12,823,579.87",0.53,13/06/2017,0.51,0.53,0.02,,3.92
12/6/2017,0.51,0.52,0.51,114,"11,077,033","5,701,855.95",0.51,12/6/2017,0.51,0.51,0,,0.59
11/6/2017,0.51,0.51,0.5,73,"6,549,336","3,321,154.36",0.51,11/6/2017,0.51,0.51,0,,-0.59
8/6/2017,0.5,0.51,0.5,167,"17,428,064","8,870,043.86",0.51,8/6/2017,0.5,0.51,0.01,,1.8
7/6/2017,0.49,0.51,0.49,253,"23,251,037","11,629,578.72",0.5,7/6/2017,0.49,0.5,0.01,,2.87
6/6/2017,0.49,0.49,0.48,43,"2,263,835","1,096,492.07",0.49,6/6/2017,0.49,0.49,0,,-0.61
5/6/2017,0.49,0.49,0.47,132,"12,772,961","6,120,422.56",0.49,5/6/2017,0.49,0.49,0,,-0.2
4/6/2017,0.48,0.49,0.48,53,"2,681,609","1,313,041.12",0.49,4/6/2017,0.49,0.49,0,,0.2
1/6/2017,0.48,0.5,0.48,59,"4,842,419","2,372,050.13",0.49,1/6/2017,0.49,0.49,0,,0.2
31/05/2017,0.48,0.49,0.47,118,"11,636,474","5,617,860.48",0.49,31/05/2017,0.48,0.49,0.01,,2.52
30/05/2017,0.47,0.48,0.47,106,"8,105,489","3,819,305.24",0.48,30/05/2017,0.46,0.48,0.01,,2.8
29/05/2017,0.45,0.47,0.45,110,"7,953,273","3,667,729.54",0.46,29/05/2017,0.46,0.46,0.01,,1.09
28/05/2017,0.47,0.47,0.45,80,"8,158,313","3,709,666.77",0.46,28/05/2017,0.47,0.46,-0.01,,-2.13
25/05/2017,0.49,0.49,0.46,113,"8,640,812","4,074,047.47",0.47,25/05/2017,0.49,0.47,-0.02,,-3.5
24/05/2017,0.49,0.49,0.49,41,"1,895,504","928,539.13",0.49,24/05/2017,0.49,0.49,0,,-0.82
23/05/2017,0.5,0.5,0.49,69,"4,434,915","2,183,985.07",0.49,23/05/2017,0.5,0.49,-0.01,,-1.21
22/05/2017,0.5,0.5,0.5,54,"2,657,949","1,326,035.25",0.5,22/05/2017,0.5,0.5,0,,-0.6
21/05/2017,0.5,0.51,0.49,69,"4,945,960","2,471,063.88",0.5,21/05/2017,0.5,0.5,0,,0.6
18/05/2017,0.5,0.5,0.5,46,"2,866,898","1,429,654.87",0.5,18/05/2017,0.51,0.5,-0.01,,-2.17
17/05/2017,0.5,0.51,0.5,48,"2,460,346","1,236,948.75",0.51,17/05/2017,0.5,0.51,0,,0.8
