Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,1.1,1.12,1.1,50,"7,077,055","7,838,350.66",1.11,30/08/2017,1.1,1.11,0.01,,0.91
29/08/2017,1.1,1.11,1.1,17,"1,383,505","1,521,894.88",1.1,29/08/2017,1.09,1.1,0.01,,0.92
28/08/2017,1.09,1.09,1.09,5,"223,518","243,634.62",1.09,28/08/2017,1.1,1.09,-0.01,,-0.91
27/08/2017,1.09,1.1,1.08,10,"491,984","536,362.56",1.1,27/08/2017,1.1,1.1,0,,0
24/08/2017,1.08,1.1,1.08,8,"847,770","923,896.13",1.1,24/08/2017,1.09,1.1,0.01,,0.92
23/08/2017,1.09,1.09,1.09,11,"20,040,131","21,843,742.79",1.09,23/08/2017,1.1,1.09,-0.01,,-0.91
22/08/2017,1.1,1.1,1.09,21,"1,167,971","1,275,281.52",1.1,22/08/2017,1.09,1.1,0.01,,0.92
21/08/2017,1.09,1.09,1.08,35,"7,547,280","8,205,875.20",1.09,21/08/2017,1.1,1.09,-0.01,,-0.91
20/08/2017,1.1,1.1,1.1,4,"611,435","672,578.50",1.1,20/08/2017,1.1,1.1,0,,0
17/08/2017,1.1,1.1,1.09,27,"4,658,873","5,108,579.25",1.1,17/08/2017,1.1,1.1,0,,0
16/08/2017,1.1,1.1,1.09,22,"8,732,545","9,563,759.50",1.1,16/08/2017,1.1,1.1,0,,0
15/08/2017,1.1,1.11,1.1,16,"3,210,000","3,532,000.00",1.1,15/08/2017,1.11,1.1,-0.01,,-0.9
14/08/2017,1.1,1.11,1.1,41,"6,924,166","7,633,288.05",1.11,14/08/2017,1.11,1.11,0,,0
13/08/2017,1.11,1.11,1.1,22,"1,202,500","1,333,500.00",1.11,13/08/2017,1.11,1.11,0,,0
10/8/2017,1.11,1.12,1.11,36,"2,582,300","2,867,053.00",1.11,10/8/2017,1.11,1.11,0,,0
9/8/2017,1.11,1.12,1.1,20,"1,031,036","1,143,847.05",1.11,9/8/2017,1.1,1.11,0.01,,0.91
8/8/2017,1.11,1.11,1.1,21,"1,789,735","1,983,033.02",1.1,8/8/2017,1.12,1.1,-0.02,,-1.79
7/8/2017,1.11,1.12,1.1,11,"347,030","385,793.00",1.12,7/8/2017,1.12,1.12,0,,0
6/8/2017,1.11,1.12,1.1,25,"1,358,695","1,508,142.57",1.12,6/8/2017,1.11,1.12,0.01,,0.9
3/8/2017,1.11,1.11,1.1,26,"3,840,000","4,255,303.00",1.11,3/8/2017,1.12,1.11,-0.01,,-0.89
2/8/2017,1.11,1.12,1.11,21,"2,592,270","2,878,142.40",1.12,2/8/2017,1.12,1.12,0,,0
1/8/2017,1.12,1.12,1.12,13,"545,526","610,989.12",1.12,1/8/2017,1.12,1.12,0,,0
31/07/2017,1.13,1.13,1.12,24,"876,000","987,231.17",1.12,31/07/2017,1.12,1.12,0,,0
30/07/2017,1.12,1.13,1.12,11,"751,047","847,047.46",1.12,30/07/2017,1.12,1.12,0,,0
27/07/2017,1.13,1.13,1.12,45,"4,761,134","5,343,713.41",1.12,27/07/2017,1.13,1.12,-0.01,,-0.88
26/07/2017,1.12,1.13,1.12,36,"2,511,061","2,820,468.32",1.13,26/07/2017,1.13,1.13,0,,0
25/07/2017,1.12,1.13,1.11,80,"9,012,415","10,104,909.24",1.13,25/07/2017,1.13,1.13,0,,0
24/07/2017,1.14,1.14,1.12,19,"937,034","1,059,382.48",1.13,24/07/2017,1.14,1.13,-0.01,,-0.88
23/07/2017,1.12,1.15,1.12,26,"2,162,400","2,461,042.00",1.14,23/07/2017,1.14,1.14,0,,0
20/07/2017,1.13,1.14,1.1,111,"15,237,671","17,109,746.32",1.14,20/07/2017,1.15,1.14,-0.01,,-0.87
19/07/2017,1.15,1.16,1.14,59,"11,698,502","13,461,865.74",1.15,19/07/2017,1.16,1.15,-0.01,,-0.86
18/07/2017,1.16,1.18,1.15,195,"40,584,603","47,336,074.77",1.16,18/07/2017,1.16,1.16,0,,0
17/07/2017,1.14,1.16,1.14,92,"11,148,077","12,819,287.88",1.16,17/07/2017,1.14,1.16,0.02,,1.75
16/07/2017,1.14,1.15,1.13,40,"14,434,547","16,460,551.70",1.14,16/07/2017,1.14,1.14,0,,0
13/07/2017,1.13,1.14,1.13,18,"3,271,493","3,725,832.09",1.14,13/07/2017,1.13,1.14,0.01,,0.88
12/7/2017,1.13,1.14,1.13,44,"10,689,933","12,121,217.89",1.13,12/7/2017,1.14,1.13,-0.01,,-0.88
11/7/2017,1.13,1.14,1.13,55,"12,334,905","13,952,994.83",1.14,11/7/2017,1.14,1.14,0,,0
10/7/2017,1.14,1.15,1.13,75,"10,366,314","11,860,449.89",1.14,10/7/2017,1.14,1.14,0,,0
9/7/2017,1.14,1.14,1.13,9,"987,137","1,116,994.81",1.14,9/7/2017,1.13,1.14,0.01,,0.88
6/7/2017,1.13,1.14,1.13,14,"2,721,549","3,078,100.37",1.13,6/7/2017,1.14,1.13,-0.01,,-0.88
5/7/2017,1.12,1.14,1.11,16,"1,280,367","1,442,341.79",1.14,5/7/2017,1.14,1.14,0,,0
4/7/2017,1.12,1.14,1.11,9,"358,000","403,382.51",1.14,4/7/2017,1.13,1.14,0.01,,0.88
3/7/2017,1.13,1.13,1.12,56,"6,050,000","6,833,587.96",1.13,3/7/2017,1.15,1.13,-0.02,,-1.74
2/7/2017,1.14,1.15,1.13,15,"1,395,000","1,587,379.44",1.15,2/7/2017,1.14,1.15,0.01,,0.88
29/06/2017,1.14,1.14,1.13,22,"2,528,000","2,862,049.86",1.14,29/06/2017,1.15,1.14,-0.01,,-0.87
28/06/2017,0,0,0,0,0,0,0,22/06/2017,1.15,1.15,0,,0
22/06/2017,1.13,1.15,1.13,25,"3,256,000","3,687,280.00",1.15,22/06/2017,1.14,1.15,0.01,,0.88
21/06/2017,1.14,1.14,1.14,29,"6,838,641","7,796,050.74",1.14,21/06/2017,1.15,1.14,-0.01,,-0.87
20/06/2017,1.14,1.15,1.14,26,"4,180,647","4,785,982.57",1.15,20/06/2017,1.14,1.15,0.01,,0.88
19/06/2017,1.13,1.15,1.13,24,"5,408,972","6,190,231.29",1.14,19/06/2017,1.14,1.14,0,,0
18/06/2017,1.16,1.16,1.14,40,"5,035,000","5,808,510.00",1.14,18/06/2017,1.16,1.14,-0.02,,-1.72
15/06/2017,1.16,1.17,1.15,154,"54,204,783","62,901,219.06",1.16,15/06/2017,1.16,1.16,0,,0
14/06/2017,1.13,1.17,1.12,115,"19,468,094","22,395,246.95",1.16,14/06/2017,1.14,1.16,0.02,,1.75
13/06/2017,1.13,1.14,1.1,52,"11,231,782","12,526,248.74",1.14,13/06/2017,1.13,1.14,0.01,,0.88
12/6/2017,1.12,1.13,1.11,39,"3,426,711","3,826,178.64",1.13,12/6/2017,1.14,1.13,-0.01,,-0.88
11/6/2017,1.13,1.15,1.13,47,"6,758,481","7,672,963.53",1.14,11/6/2017,1.14,1.14,0,,0
8/6/2017,1.13,1.14,1.13,20,"2,249,000","2,546,570.00",1.14,8/6/2017,1.14,1.14,0,,0
