Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,1.14,1.14,1.13,46,"3,124,795","3,541,224.86",1.13,30/08/2017,1.13,1.13,0,,0
29/08/2017,1.13,1.14,1.12,31,"1,191,046","1,344,069.98",1.13,29/08/2017,1.14,1.13,-0.01,,-0.88
28/08/2017,1.13,1.14,1.13,75,"3,760,535","4,261,674.28",1.14,28/08/2017,1.13,1.14,0.01,,0.88
27/08/2017,1.12,1.15,1.11,175,"16,132,989","18,378,393.66",1.13,27/08/2017,1.12,1.13,0.01,,0.89
24/08/2017,1.13,1.13,1.11,63,"2,676,997","3,000,451.64",1.12,24/08/2017,1.12,1.12,0,,0
23/08/2017,1.11,1.14,1.11,165,"10,692,664","12,019,547.40",1.12,23/08/2017,1.1,1.12,0.02,,1.82
22/08/2017,1.08,1.11,1.08,48,"2,455,373","2,700,181.58",1.1,22/08/2017,1.09,1.1,0.01,,0.92
21/08/2017,1.1,1.1,1.08,48,"1,755,975","1,908,458.00",1.09,21/08/2017,1.1,1.09,-0.01,,-0.91
20/08/2017,1.09,1.1,1.08,51,"1,846,478","2,020,491.74",1.1,20/08/2017,1.09,1.1,0.01,,0.92
17/08/2017,1.1,1.12,1.08,211,"12,534,009","13,770,370.48",1.09,17/08/2017,1.07,1.09,0.02,,1.87
16/08/2017,1.06,1.09,1.05,83,"4,593,610","4,931,530.15",1.07,16/08/2017,1.06,1.07,0.01,,0.94
15/08/2017,1.05,1.08,1.04,70,"3,222,484","3,413,455.44",1.06,15/08/2017,1.04,1.06,0.02,,1.92
14/08/2017,1.07,1.08,1.04,68,"2,717,431","2,887,422.44",1.04,14/08/2017,1.08,1.04,-0.04,,-3.7
13/08/2017,1.09,1.1,1.07,39,"1,434,640","1,548,569.80",1.08,13/08/2017,1.09,1.08,-0.01,,-0.92
10/8/2017,1.09,1.1,1.08,44,"1,824,298","1,988,027.33",1.09,10/8/2017,1.09,1.09,0,,0
9/8/2017,1.11,1.11,1.08,67,"2,792,741","3,059,087.49",1.09,9/8/2017,1.12,1.09,-0.03,,-2.68
8/8/2017,1.12,1.13,1.1,167,"11,633,655","12,976,164.91",1.12,8/8/2017,1.14,1.12,-0.02,,-1.75
7/8/2017,1.15,1.15,1.14,57,"2,434,063","2,783,386.17",1.14,7/8/2017,1.15,1.14,-0.01,,-0.87
6/8/2017,1.16,1.18,1.15,73,"4,206,000","4,904,229.16",1.15,6/8/2017,1.15,1.15,0,,0
3/8/2017,1.17,1.17,1.15,91,"4,039,757","4,680,538.80",1.15,3/8/2017,1.17,1.15,-0.02,,-1.71
2/8/2017,1.15,1.19,1.14,266,"17,964,628","20,938,047.58",1.17,2/8/2017,1.14,1.17,0.03,,2.63
1/8/2017,1.16,1.17,1.12,121,"6,488,812","7,472,569.73",1.14,1/8/2017,1.14,1.14,0,,0
31/07/2017,1.12,1.18,1.11,285,"14,610,043","16,851,768.30",1.14,31/07/2017,1.12,1.14,0.02,,1.79
30/07/2017,1.14,1.14,1.11,53,"1,679,004","1,883,916.68",1.12,30/07/2017,1.12,1.12,0,,0
