Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,0.9,0.9,0.89,46,"2,526,009","2,246,914.35",0.89,30/08/2017,0.89,0.89,0,,0.23
29/08/2017,0.89,0.9,0.89,45,"2,564,231","2,285,539.21",0.89,29/08/2017,0.9,0.89,-0.01,,-1.45
28/08/2017,0.89,0.9,0.88,120,"6,075,196","5,425,529.12",0.9,28/08/2017,0.9,0.9,0,,0.33
27/08/2017,0.9,0.9,0.89,119,"9,497,775","8,482,075.40",0.9,27/08/2017,0.9,0.9,-0.01,,-0.88
24/08/2017,0.89,0.91,0.89,290,"27,590,623","24,809,949.57",0.9,24/08/2017,0.89,0.9,0.02,,1.69
23/08/2017,0.88,0.89,0.87,185,"14,961,064","13,234,859.82",0.89,23/08/2017,0.88,0.89,0.01,,1.37
22/08/2017,0.88,0.88,0.87,91,"6,215,190","5,461,450.44",0.88,22/08/2017,0.88,0.88,0,,-0.34
21/08/2017,0.9,0.91,0.88,291,"24,467,915","21,812,966.24",0.88,21/08/2017,0.9,0.88,-0.02,,-2
20/08/2017,0.86,0.9,0.86,630,"83,789,973","74,099,379.24",0.9,20/08/2017,0.86,0.9,0.04,,4.3
17/08/2017,0.82,0.87,0.82,709,"66,739,806","56,939,601.13",0.86,17/08/2017,0.83,0.86,0.03,,3.73
16/08/2017,0.81,0.84,0.81,425,"32,584,577","26,892,998.27",0.83,16/08/2017,0.82,0.83,0.01,,1.22
15/08/2017,0.77,0.83,0.77,"1,134","123,729,509","98,028,233.52",0.82,15/08/2017,0.86,0.82,-0.04,,-4.32
14/08/2017,0.86,0.87,0.85,233,"11,777,975","10,100,274.37",0.86,14/08/2017,0.85,0.86,0,,0.47
13/08/2017,0.88,0.88,0.85,321,"19,139,658","16,484,498.46",0.85,13/08/2017,0.88,0.85,-0.03,,-3.07
10/8/2017,0.87,0.89,0.86,445,"41,758,463","36,642,361.21",0.88,10/8/2017,0.87,0.88,0.01,,1.15
9/8/2017,0.87,0.88,0.86,281,"17,293,533","15,094,731.75",0.87,9/8/2017,0.88,0.87,-0.01,,-1.02
8/8/2017,0.88,0.89,0.87,288,"18,022,974","15,822,940.32",0.88,8/8/2017,0.88,0.88,0,,-0.11
7/8/2017,0.9,0.91,0.88,607,"53,689,918","47,843,730.07",0.88,7/8/2017,0.89,0.88,-0.01,,-1.46
6/8/2017,0.91,0.91,0.89,429,"33,932,087","30,526,106.19",0.89,6/8/2017,0.91,0.89,-0.01,,-1.33
3/8/2017,0.91,0.91,0.9,328,"19,702,012","17,881,786.33",0.91,3/8/2017,0.91,0.91,-0.01,,-0.55
2/8/2017,0.92,0.92,0.91,540,"44,521,430","40,622,420.94",0.91,2/8/2017,0.92,0.91,-0.01,,-1.41
1/8/2017,0.93,0.93,0.92,304,"23,135,584","21,373,608.27",0.92,1/8/2017,0.93,0.92,-0.01,,-0.65
31/07/2017,0.93,0.93,0.92,151,"11,791,582","10,945,949.92",0.93,31/07/2017,0.93,0.93,0,,0.32
30/07/2017,0.93,0.94,0.93,179,"11,440,750","10,633,045.71",0.93,30/07/2017,0.93,0.93,0,,-0.11
27/07/2017,0.93,0.93,0.93,93,"4,949,754","4,594,247.14",0.93,27/07/2017,0.93,0.93,0,,0.11
26/07/2017,0.94,0.94,0.92,384,"27,243,186","25,242,661.74",0.93,26/07/2017,0.94,0.93,-0.01,,-1.28
