Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,6.08,6.1,6.06,131,"1,512,528","9,207,557.61",6.09,30/08/2017,6.04,6.09,0.05,,0.83
29/08/2017,6.1,6.1,6.04,81,"919,339","5,574,970.02",6.04,29/08/2017,6.09,6.04,-0.05,,-0.82
28/08/2017,6.03,6.09,6,113,"2,288,627","13,770,986.76",6.09,28/08/2017,6.01,6.09,0.08,,1.33
27/08/2017,6.01,6.05,6.01,52,"776,512","4,674,570.40",6.01,27/08/2017,6.01,6.01,0,,0
24/08/2017,6.06,6.06,6.01,93,"1,085,446","6,542,373.06",6.01,24/08/2017,6.03,6.01,-0.02,,-0.33
23/08/2017,6.01,6.05,6.01,78,"1,191,224","7,184,147.78",6.03,23/08/2017,6.01,6.03,0.02,,0.33
22/08/2017,6,6.06,6,69,"1,443,600","8,692,619.13",6.01,22/08/2017,6.01,6.01,0,,0
21/08/2017,6.02,6.05,6.01,113,"1,677,932","10,105,841.38",6.01,21/08/2017,6.02,6.01,-0.01,,-0.17
20/08/2017,5.99,6.05,5.99,79,"1,098,891","6,620,828.12",6.02,20/08/2017,5.99,6.02,0.03,,0.5
17/08/2017,6.02,6.05,5.96,106,"1,550,519","9,279,836.09",5.99,17/08/2017,6.02,5.99,-0.03,,-0.5
16/08/2017,6.01,6.02,5.99,123,"2,238,041","13,438,317.70",6.02,16/08/2017,6.02,6.02,0,,0
15/08/2017,6.1,6.11,6,76,"1,140,183","6,886,038.39",6.02,15/08/2017,6.03,6.02,-0.01,,-0.17
14/08/2017,6.05,6.08,6.03,108,"1,453,774","8,791,030.64",6.03,14/08/2017,6.08,6.03,-0.05,,-0.82
13/08/2017,6.07,6.11,6.07,33,"362,473","2,205,626.58",6.08,13/08/2017,6.12,6.08,-0.04,,-0.65
10/8/2017,6.06,6.12,6.06,32,"790,539","4,830,668.96",6.12,10/8/2017,6.11,6.12,0.01,,0.16
9/8/2017,6.09,6.13,6.02,99,"2,462,632","14,959,459.27",6.11,9/8/2017,6.1,6.11,0.01,,0.16
8/8/2017,6.13,6.15,6.1,74,"1,790,354","10,947,250.40",6.1,8/8/2017,6.15,6.1,-0.05,,-0.81
7/8/2017,6.16,6.16,6.13,63,"1,102,057","6,774,460.62",6.15,7/8/2017,6.16,6.15,-0.01,,-0.16
6/8/2017,6.17,6.2,6.14,89,"1,769,796","10,946,802.78",6.16,6/8/2017,6.17,6.16,-0.01,,-0.16
3/8/2017,6.08,6.17,6.05,260,"6,221,454","38,150,151.91",6.17,3/8/2017,6.08,6.17,0.09,,1.48
2/8/2017,6.1,6.11,6.05,117,"1,965,878","11,948,188.67",6.08,2/8/2017,6.1,6.08,-0.02,,-0.33
1/8/2017,6.07,6.12,6.05,264,"5,986,659","36,538,074.96",6.1,1/8/2017,6.08,6.1,0.02,,0.33
31/07/2017,5.99,6.08,5.99,300,"6,540,724","39,544,898.76",6.08,31/07/2017,5.97,6.08,0.11,,1.84
30/07/2017,5.88,5.98,5.88,122,"3,518,168","20,892,919.90",5.97,30/07/2017,5.92,5.97,0.05,,0.84
27/07/2017,5.91,5.92,5.86,93,"2,253,256","13,303,655.00",5.92,27/07/2017,5.9,5.92,0.02,,0.34
26/07/2017,5.85,5.9,5.83,113,"4,222,085","24,840,299.29",5.9,26/07/2017,5.85,5.9,0.05,,0.85
25/07/2017,5.86,5.87,5.83,102,"1,331,868","7,788,777.84",5.85,25/07/2017,5.87,5.85,-0.02,,-0.34
