Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,1.29,1.32,1.29,45,"1,060,612","1,376,308.19",1.3,30/08/2017,1.3,1.3,0,,0
29/08/2017,1.28,1.31,1.28,19,"223,329","288,537.84",1.3,29/08/2017,1.26,1.3,0.04,,3.17
28/08/2017,1.28,1.32,1.25,41,"2,124,837","2,686,574.06",1.26,28/08/2017,1.3,1.26,-0.04,,-3.08
27/08/2017,1.35,1.35,1.29,37,"1,037,677","1,360,773.70",1.3,27/08/2017,1.36,1.3,-0.06,,-4.41
24/08/2017,1.33,1.36,1.33,16,"60,281,146","81,979,912.12",1.36,24/08/2017,1.35,1.36,0.01,,0.74
23/08/2017,1.28,1.35,1.28,34,"9,507,705","12,816,656.41",1.35,23/08/2017,1.28,1.35,0.07,,5.47
22/08/2017,1.29,1.29,1.27,14,"284,317","364,407.52",1.28,22/08/2017,1.3,1.28,-0.02,,-1.54
21/08/2017,1.27,1.31,1.27,52,"1,107,189","1,444,069.06",1.3,21/08/2017,1.3,1.3,0,,0
20/08/2017,1.25,1.3,1.22,17,"633,661","789,539.98",1.3,20/08/2017,1.26,1.3,0.04,,3.17
17/08/2017,1.26,1.26,1.22,12,"45,689","56,521.81",1.26,17/08/2017,1.27,1.26,-0.01,,-0.79
16/08/2017,1.27,1.27,1.23,7,"11,676","14,581.96",1.27,16/08/2017,1.28,1.27,-0.01,,-0.78
15/08/2017,1.3,1.3,1.17,24,"235,931","293,288.99",1.28,15/08/2017,1.3,1.28,-0.02,,-1.54
14/08/2017,1.27,1.3,1.25,9,"35,343","44,372.11",1.3,14/08/2017,1.27,1.3,0.03,,2.36
13/08/2017,1.31,1.31,1.26,18,"255,047","327,061.46",1.27,13/08/2017,1.3,1.27,-0.03,,-2.31
10/8/2017,1.32,1.32,1.27,25,"479,675","622,417.30",1.3,10/8/2017,1.31,1.3,-0.01,,-0.76
9/8/2017,1.34,1.34,1.31,23,"209,824","277,553.00",1.31,9/8/2017,1.35,1.31,-0.04,,-2.96
8/8/2017,1.34,1.35,1.34,5,"4,186","5,614.24",1.35,8/8/2017,1.3,1.35,0.05,,3.85
7/8/2017,1.34,1.39,1.3,30,"320,224","430,383.78",1.3,7/8/2017,1.36,1.3,-0.06,,-4.41
6/8/2017,1.35,1.36,1.34,12,"88,711","119,664.56",1.36,6/8/2017,1.37,1.36,-0.01,,-0.73
3/8/2017,1.34,1.37,1.33,11,"33,250","45,017.41",1.37,3/8/2017,1.34,1.37,0.03,,2.24
2/8/2017,1.34,1.35,1.34,9,"44,837","60,302.73",1.34,2/8/2017,1.35,1.34,-0.01,,-0.74
1/8/2017,1.37,1.37,1.34,23,"439,053","594,428.61",1.35,1/8/2017,1.35,1.35,0,,0
31/07/2017,1.35,1.38,1.35,25,"425,544","580,315.51",1.35,31/07/2017,1.4,1.35,-0.05,,-3.57
