Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,2.47,2.47,2.41,100,"3,149,660","7,686,115.11",2.46,30/08/2017,2.47,2.46,-0.01,,-0.4
29/08/2017,2.44,2.47,2.44,40,"482,418","1,185,769.83",2.47,29/08/2017,2.47,2.47,0,,0
28/08/2017,2.43,2.47,2.43,57,"1,203,856","2,939,885.25",2.47,28/08/2017,2.44,2.47,0.03,,1.23
27/08/2017,2.47,2.47,2.44,15,"124,234","304,389.15",2.44,27/08/2017,2.46,2.44,-0.02,,-0.81
24/08/2017,2.46,2.49,2.45,26,"636,361","1,567,769.56",2.46,24/08/2017,2.49,2.46,-0.03,,-1.2
23/08/2017,2.5,2.5,2.46,99,"9,979,188","24,895,822.62",2.49,23/08/2017,2.5,2.49,-0.01,,-0.4
22/08/2017,2.47,2.5,2.46,88,"2,208,854","5,461,269.75",2.5,22/08/2017,2.49,2.5,0.01,,0.4
21/08/2017,2.46,2.49,2.46,213,"7,961,256","19,768,728.76",2.49,21/08/2017,2.47,2.49,0.02,,0.81
20/08/2017,2.43,2.47,2.43,115,"3,393,498","8,348,477.64",2.47,20/08/2017,2.43,2.47,0.04,,1.65
17/08/2017,2.41,2.43,2.41,21,"474,857","1,151,561.48",2.43,17/08/2017,2.41,2.43,0.02,,0.83
16/08/2017,2.41,2.44,2.4,63,"2,821,839","6,812,441.15",2.41,16/08/2017,2.41,2.41,0,,0
15/08/2017,2.41,2.42,2.4,64,"4,900,348","11,790,942.86",2.41,15/08/2017,2.4,2.41,0.01,,0.42
14/08/2017,2.41,2.44,2.4,65,"2,556,735","6,156,641.34",2.4,14/08/2017,2.4,2.4,0,,0
13/08/2017,2.42,2.42,2.4,46,"2,114,748","5,098,836.74",2.4,13/08/2017,2.42,2.4,-0.02,,-0.83
10/8/2017,2.42,2.43,2.41,47,"1,515,409","3,670,651.56",2.42,10/8/2017,2.45,2.42,-0.03,,-1.22
9/8/2017,2.43,2.45,2.42,62,"4,674,917","11,327,863.69",2.45,9/8/2017,2.47,2.45,-0.02,,-0.81
8/8/2017,2.5,2.5,2.43,243,"4,235,773","10,390,425.06",2.47,8/8/2017,2.49,2.47,-0.02,,-0.8
7/8/2017,2.49,2.5,2.48,59,"697,602","1,736,875.17",2.49,7/8/2017,2.48,2.49,0.01,,0.4
6/8/2017,2.48,2.5,2.47,43,"868,940","2,158,692.21",2.48,6/8/2017,2.49,2.48,-0.01,,-0.4
3/8/2017,2.49,2.49,2.46,86,"1,620,136","4,017,474.83",2.49,3/8/2017,2.5,2.49,-0.01,,-0.4
2/8/2017,2.49,2.5,2.49,81,"2,089,238","5,223,062.01",2.5,2/8/2017,2.5,2.5,0,,0
1/8/2017,2.47,2.52,2.47,87,"1,633,147","4,097,746.61",2.5,1/8/2017,2.48,2.5,0.02,,0.81
31/07/2017,2.5,2.51,2.48,79,"1,305,005","3,245,535.89",2.48,31/07/2017,2.51,2.48,-0.03,,-1.2
30/07/2017,2.48,2.51,2.48,28,"802,255","2,011,867.65",2.51,30/07/2017,2.47,2.51,0.04,,1.62
27/07/2017,2.49,2.49,2.47,71,"1,908,721","4,720,575.52",2.47,27/07/2017,2.52,2.47,-0.05,,-1.98
26/07/2017,2.48,2.52,2.46,123,"4,206,393","10,476,700.55",2.52,26/07/2017,2.51,2.52,0.01,,0.4
25/07/2017,2.47,2.51,2.47,117,"1,241,811","3,083,284.43",2.51,25/07/2017,2.5,2.51,0.01,,0.4
24/07/2017,2.51,2.51,2.48,37,"710,492","1,776,296.75",2.5,24/07/2017,2.48,2.5,0.02,,0.81
23/07/2017,2.49,2.5,2.48,12,"414,890","1,035,988.26",2.48,23/07/2017,2.48,2.48,0,,0
20/07/2017,2.5,2.53,2.48,64,"1,349,609","3,372,402.57",2.48,20/07/2017,2.53,2.48,-0.05,,-1.98
19/07/2017,2.54,2.54,2.5,49,"3,704,230","9,391,896.96",2.53,19/07/2017,2.54,2.53,-0.01,,-0.39
18/07/2017,2.52,2.57,2.52,98,"4,135,575","10,543,268.76",2.54,18/07/2017,2.51,2.54,0.03,,1.2
17/07/2017,2.48,2.54,2.48,77,"1,850,083","4,663,238.94",2.51,17/07/2017,2.49,2.51,0.02,,0.8
16/07/2017,2.5,2.52,2.49,25,"722,416","1,808,118.43",2.49,16/07/2017,2.52,2.49,-0.03,,-1.19
13/07/2017,2.47,2.52,2.47,81,"1,963,531","4,909,786.37",2.52,13/07/2017,2.47,2.52,0.05,,2.02
12/7/2017,2.45,2.48,2.45,90,"2,496,927","6,163,446.35",2.47,12/7/2017,2.46,2.47,0.01,,0.41
11/7/2017,2.45,2.48,2.43,29,"2,481,524","6,136,707.71",2.46,11/7/2017,2.45,2.46,0.01,,0.41
10/7/2017,2.41,2.45,2.41,71,"1,767,442","4,291,754.10",2.45,10/7/2017,2.4,2.45,0.05,,2.08
9/7/2017,2.41,2.41,2.4,17,"531,267","1,278,887.71",2.4,9/7/2017,2.41,2.4,-0.01,,-0.41
6/7/2017,2.43,2.43,2.4,53,"3,214,910","7,743,056.46",2.41,6/7/2017,2.42,2.41,-0.01,,-0.41
5/7/2017,2.4,2.45,2.4,53,"5,148,048","12,471,858.23",2.42,5/7/2017,2.43,2.42,-0.01,,-0.41
4/7/2017,2.43,2.48,2.38,175,"8,168,654","19,680,637.32",2.43,4/7/2017,2.41,2.43,0.02,,0.83
3/7/2017,2.51,2.52,2.41,99,"5,071,239","12,493,395.86",2.41,3/7/2017,2.47,2.41,-0.06,,-2.43
2/7/2017,2.48,2.51,2.47,22,"140,821","349,176.18",2.47,2/7/2017,2.52,2.47,-0.05,,-1.98
29/06/2017,2.51,2.52,2.49,32,"995,116","2,503,145.01",2.52,29/06/2017,2.5,2.52,0.02,,0.8
28/06/2017,2.49,2.53,2.47,129,"2,977,176","7,421,679.29",2.5,28/06/2017,2.51,2.5,-0.01,,-0.4
22/06/2017,2.51,2.52,2.49,60,"2,265,364","5,678,687.04",2.51,22/06/2017,2.54,2.51,-0.03,,-1.18
