Date,Open Price,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Closing Price,Net Change,,%
30/08/2017,3.18,3.21,3.18,61,"958,381","3,061,821.81",3.2,30/08/2017,3.17,3.2,0.03,,0.95
29/08/2017,3.16,3.2,3.16,42,"710,786","2,258,857.05",3.17,29/08/2017,3.2,3.17,-0.03,,-0.94
28/08/2017,3.24,3.24,3.15,135,"3,429,060","10,955,744.73",3.2,28/08/2017,3.23,3.2,-0.03,,-0.93
27/08/2017,3.25,3.3,3.22,95,"1,975,422","6,402,573.99",3.23,27/08/2017,3.27,3.23,-0.04,,-1.22
24/08/2017,3.28,3.29,3.26,66,"2,143,878","7,009,934.69",3.27,24/08/2017,3.28,3.27,-0.01,,-0.3
23/08/2017,3.33,3.34,3.28,112,"4,113,561","13,603,696.82",3.28,23/08/2017,3.3,3.28,-0.02,,-0.61
22/08/2017,3.29,3.32,3.26,43,"884,437","2,912,648.04",3.3,22/08/2017,3.29,3.3,0.01,,0.3
21/08/2017,3.31,3.32,3.29,56,"1,433,753","4,737,044.30",3.29,21/08/2017,3.32,3.29,-0.03,,-0.9
20/08/2017,3.31,3.35,3.25,134,"3,385,016","11,231,745.92",3.32,20/08/2017,3.27,3.32,0.05,,1.53
17/08/2017,3.3,3.34,3.27,142,"4,123,986","13,625,697.75",3.27,17/08/2017,3.31,3.27,-0.04,,-1.21
16/08/2017,3.23,3.38,3.19,218,"6,178,486","20,456,291.09",3.31,16/08/2017,3.23,3.31,0.08,,2.48
15/08/2017,3.21,3.26,3.17,208,"4,313,939","13,848,457.57",3.23,15/08/2017,3.24,3.23,-0.01,,-0.31
14/08/2017,3.31,3.31,3.21,220,"5,765,953","18,753,563.25",3.24,14/08/2017,3.33,3.24,-0.09,,-2.7
13/08/2017,3.41,3.41,3.32,187,"4,375,277","14,680,927.10",3.33,13/08/2017,3.43,3.33,-0.1,,-2.92
10/8/2017,3.45,3.48,3.43,110,"3,591,835","12,384,243.44",3.43,10/8/2017,3.46,3.43,-0.03,,-0.87
9/8/2017,3.53,3.57,3.42,384,"9,855,971","34,379,265.46",3.46,9/8/2017,3.54,3.46,-0.08,,-2.26
8/8/2017,0,0,0,0,0,0,0,7/8/2017,3.54,3.54,0,,0
7/8/2017,3.58,3.59,3.52,201,"6,894,232","24,505,375.36",3.54,7/8/2017,3.57,3.54,-0.03,,-0.84
6/8/2017,3.5,3.6,3.5,434,"15,940,105","56,886,622.90",3.57,6/8/2017,3.48,3.57,0.09,,2.59
3/8/2017,3.48,3.5,3.47,94,"1,464,715","5,100,518.61",3.48,3/8/2017,3.5,3.48,-0.02,,-0.57
2/8/2017,3.48,3.52,3.47,170,"4,899,520","17,105,534.13",3.5,2/8/2017,3.48,3.5,0.02,,0.57
1/8/2017,3.51,3.55,3.48,449,"16,483,623","58,042,816.87",3.48,1/8/2017,3.46,3.48,0.02,,0.58
31/07/2017,3.44,3.47,3.44,70,"1,577,786","5,461,142.76",3.46,31/07/2017,3.46,3.46,0,,0
30/07/2017,3.49,3.49,3.46,69,"1,341,673","4,649,646.75",3.46,30/07/2017,3.45,3.46,0.01,,0.29
27/07/2017,3.47,3.47,3.43,72,"892,106","3,078,079.34",3.45,27/07/2017,3.46,3.45,-0.01,,-0.29
26/07/2017,3.48,3.49,3.45,74,"1,687,820","5,851,727.63",3.46,26/07/2017,3.45,3.46,0.01,,0.29
25/07/2017,3.45,3.53,3.45,181,"4,799,075","16,722,768.79",3.45,25/07/2017,3.48,3.45,-0.03,,-0.86
24/07/2017,3.5,3.52,3.44,207,"4,766,517","16,572,879.71",3.48,24/07/2017,3.51,3.48,-0.03,,-0.85
23/07/2017,3.54,3.55,3.48,234,"7,303,622","25,615,119.28",3.51,23/07/2017,3.55,3.51,-0.04,,-1.13
20/07/2017,3.52,3.58,3.5,209,"6,363,449","22,491,087.13",3.55,20/07/2017,3.53,3.55,0.02,,0.57
19/07/2017,3.53,3.57,3.52,208,"5,299,460","18,802,666.51",3.53,19/07/2017,3.53,3.53,0,,0
18/07/2017,3.59,3.64,3.53,564,"20,044,760","72,007,839.39",3.53,18/07/2017,3.58,3.53,-0.05,,-1.4
17/07/2017,3.52,3.61,3.48,576,"24,664,752","88,063,851.83",3.58,17/07/2017,3.52,3.58,0.06,,1.7
16/07/2017,3.53,3.56,3.49,269,"8,362,473","29,479,165.32",3.52,16/07/2017,3.53,3.52,-0.01,,-0.28
13/07/2017,3.55,3.57,3.49,411,"13,030,240","45,990,020.52",3.53,13/07/2017,3.54,3.53,-0.01,,-0.28
12/7/2017,3.44,3.56,3.43,820,"27,212,523","95,622,820.33",3.54,12/7/2017,3.42,3.54,0.12,,3.51
11/7/2017,3.42,3.47,3.4,193,"5,197,772","17,798,860.42",3.42,11/7/2017,3.4,3.42,0.02,,0.59
10/7/2017,3.49,3.51,3.4,591,"20,034,714","69,326,527.90",3.4,10/7/2017,3.47,3.4,-0.07,,-2.02
9/7/2017,3.26,3.48,3.23,"1,078","41,660,934","141,970,493.04",3.47,9/7/2017,3.23,3.47,0.24,,7.43
6/7/2017,3.21,3.26,3.18,238,"5,837,782","18,815,085.57",3.23,6/7/2017,3.19,3.23,0.04,,1.25
5/7/2017,3.32,3.37,3.19,975,"29,988,566","98,717,390.23",3.19,5/7/2017,3.23,3.19,-0.04,,-1.24
4/7/2017,3,3.32,3,"1,495","45,087,023","143,511,065.47",3.23,4/7/2017,2.92,3.23,0.31,,10.62
3/7/2017,2.88,2.97,2.87,225,"5,918,284","17,331,588.64",2.92,3/7/2017,2.87,2.92,0.05,,1.74
2/7/2017,2.88,2.97,2.83,293,"8,036,321","23,264,432.33",2.87,2/7/2017,2.87,2.87,0,,0
29/06/2017,2.76,3.02,2.75,565,"11,183,490","32,614,738.05",2.87,29/06/2017,2.75,2.87,0.12,,4.36
28/06/2017,3.03,3.09,2.73,585,"10,436,105","30,038,062.23",2.75,28/06/2017,3,2.75,-0.25,,-8.33
22/06/2017,0.73,0.74,0.71,462,"35,344,810","25,758,669.06",0.74,22/06/2017,0.73,0.74,0.01,,1.1
21/06/2017,0.74,0.75,0.73,308,"13,567,785","9,972,001.84",0.73,21/06/2017,0.74,0.73,-0.01,,-1.35
20/06/2017,0.75,0.75,0.73,423,"29,680,075","21,962,048.67",0.74,20/06/2017,0.75,0.74,-0.01,,-1.47
19/06/2017,0.76,0.77,0.75,254,"15,795,347","11,934,187.01",0.75,19/06/2017,0.76,0.75,-0.01,,-1.32
18/06/2017,0.77,0.77,0.76,148,"9,698,134","7,394,114.03",0.76,18/06/2017,0.76,0.76,0,,-0.26
15/06/2017,0.78,0.79,0.76,329,"34,508,988","26,499,480.38",0.76,15/06/2017,0.78,0.76,-0.02,,-2.43
14/06/2017,0.77,0.8,0.76,673,"64,517,646","50,554,845.18",0.78,14/06/2017,0.77,0.78,0.02,,1.96
13/06/2017,0.76,0.77,0.76,245,"16,781,624","12,787,090.24",0.77,13/06/2017,0.75,0.77,0.01,,1.73
12/6/2017,0.75,0.76,0.75,262,"19,285,488","14,534,696.52",0.75,12/6/2017,0.76,0.75,0,,-0.53
11/6/2017,0.77,0.77,0.76,183,"13,596,482","10,342,296.06",0.76,11/6/2017,0.77,0.76,-0.01,,-1.56
8/6/2017,0.77,0.79,0.76,298,"23,153,164","17,947,340.66",0.77,8/6/2017,0.77,0.77,-0.01,,-0.65
7/6/2017,0.76,0.78,0.76,307,"24,855,749","19,157,011.86",0.77,7/6/2017,0.76,0.77,0.02,,2.25
6/6/2017,0.76,0.77,0.75,187,"10,458,657","7,934,768.52",0.76,6/6/2017,0.76,0.76,-0.01,,-0.92
5/6/2017,0.75,0.77,0.73,379,"24,455,405","18,231,644.50",0.76,5/6/2017,0.76,0.76,0,,0.26
4/6/2017,0.77,0.78,0.76,234,"18,240,942","13,948,441.88",0.76,4/6/2017,0.77,0.76,0,,-0.52
1/6/2017,0.76,0.78,0.75,240,"15,207,013","11,610,667.21",0.77,1/6/2017,0.76,0.77,0,,0.52
31/05/2017,0.78,0.78,0.76,588,"44,460,788","34,394,548.41",0.76,31/05/2017,0.78,0.76,-0.01,,-1.68
30/05/2017,0.75,0.78,0.75,484,"34,786,970","26,485,937.68",0.78,30/05/2017,0.75,0.78,0.03,,4.03
29/05/2017,0.74,0.76,0.74,300,"18,417,338","13,770,703.76",0.75,29/05/2017,0.74,0.75,0,,0.27
28/05/2017,0.73,0.75,0.72,453,"23,712,458","17,365,712.37",0.74,28/05/2017,0.73,0.74,0.02,,2.48
25/05/2017,0.75,0.76,0.7,437,"27,394,932","19,859,944.18",0.73,25/05/2017,0.75,0.73,-0.03,,-3.33
24/05/2017,0.74,0.76,0.74,356,"22,342,875","16,862,788.32",0.75,24/05/2017,0.74,0.75,0.01,,1.63
23/05/2017,0.75,0.77,0.74,375,"22,113,340","16,630,825.73",0.74,23/05/2017,0.75,0.74,-0.01,,-1.73
22/05/2017,0.79,0.8,0.75,844,"60,743,047","47,446,870.89",0.75,22/05/2017,0.79,0.75,-0.04,,-5.18
21/05/2017,0.73,0.82,0.72,"1,917","139,233,121","107,666,174.94",0.79,21/05/2017,0.72,0.79,0.08,,10.77
18/05/2017,0.72,0.73,0.71,348,"23,528,018","16,927,232.03",0.72,18/05/2017,0.73,0.72,-0.01,,-1.38
17/05/2017,0.71,0.74,0.7,425,"26,675,617","19,192,181.48",0.73,17/05/2017,0.72,0.73,0.01,,0.69
16/05/2017,0.75,0.75,0.72,438,"25,927,261","19,018,082.89",0.72,16/05/2017,0.76,0.72,-0.04,,-5.51
15/05/2017,0.77,0.82,0.75,"1,320","95,363,450","74,987,948.76",0.76,15/05/2017,0.76,0.76,0,,-0.13
14/05/2017,0.78,0.78,0.76,211,"12,140,428","9,354,824.30",0.76,14/05/2017,0.77,0.76,-0.01,,-0.91
11/5/2017,0.77,0.78,0.76,502,"31,554,172","24,430,186.65",0.77,11/5/2017,0.77,0.77,0,,0.39
10/5/2017,0.75,0.77,0.75,370,"19,810,823","15,090,372.31",0.77,10/5/2017,0.81,0.77,-0.05,,-5.54
